"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.3561944901923453e-12,1,557,1.8849555921538762e-11
1,2.1205750411731107e-11,2,556,1.8849555921538762e-11
2,8.482300164692444e-11,3,189,2.945243112740431e-10
3,2.356194490192346e-10,4,290,8.081747101359741e-10
4,5.301437602932776e-10,5,486,1.2063715789784804e-9
5,1.0390817701748241e-9,6,449,1.717665783350219e-9
6,1.8472564803107981e-9,7,181,3.13609486644601e-9
7,3.053628059289279e-9,8,430,4.0715040790523705e-9
8,4.7712938426394975e-9,9,593,9.650972631827851e-9
9,7.1274883328318425e-9,10,393,1.1575983530315e-8
10,1.0263583199277851e-8,11,519,2.182071717367132e-8
11,1.4335087278330222e-8,12,418,2.508875893156811e-8
12,1.9511646573282807e-8,13,599,3.257203263241901e-8
13,2.59770442543706e-8,14,414,3.257203263241901e-8
14,3.392920065876977e-8,15,226,3.681553890925542e-8
15,4.3580173290597624e-8,16,435,4.1412474359620695e-8
16,5.515615682091262e-8,17,472,4.637697615045598e-8
17,6.889748308771438e-8,18,546,5.746522742130117e-8
18,8.505862109594368e-8,19,684,5.746522742130117e-8
19,1.0390817701748246e-7,20,172,6.361725123519339e-8
20,1.2572889419115378e-7,21,361,6.361725123519339e-8
21,1.5081765312272187e-7,22,683,7.019339005732024e-8
22,1.794854714848922e-7,23,645,7.720778105462285e-8
23,2.120575041173112e-7,24,354,7.720778105462285e-8
24,2.4887304302656656e-7,25,300,7.720778105462285e-8
25,2.902855173861873e-7,26,555,8.467456139404243e-8
26,3.366624935366433e-7,27,316,9.260786824252005e-8
27,3.883856749853456e-7,28,464,1.0102183876699693e-7
28,4.4585090240664683e-7,29,613,1.0993061013441422e-7
29,5.094681536418402e-7,30,613,1.0993061013441422e-7
30,5.796615436991603e-7,31,664,1.1934831951171302e-7
31,6.568693247537835e-7,32,602,1.1934831951171302e-7
32,7.415438861478259e-7,33,530,1.3976710096371994e-7
33,8.341517543903458e-7,34,609,1.623912804585468e-7
34,9.351735931573429e-7,35,535,1.8733395533172285e-7
35,0.0000010451042032917572,36,444,2.0071007145254476e-7
36,0.0000011644525228034702,37,544,2.2934254689736204e-7
37,0.0000012937416268693048,38,382,2.2934254689736204e-7
38,0.0000014335087278330248,39,417,2.446271805552397e-7
39,0.0000015843051752053348,40,353,2.605762610593516e-7
40,0.0000017466964556638819,41,451,2.772039255766389e-7
41,0.0000019212621930532526,42,611,2.772039255766389e-7
42,0.0000021085961483849752,43,498,2.9452431127404283e-7
43,0.00000230930621983752,44,634,3.1255155531850435e-7
44,0.000002524014442756296,45,358,3.3129979487696476e-7
45,0.0000027533569896536595,46,518,3.3129979487696476e-7
46,0.000002997984170208899,47,404,3.5078316711636514e-7
47,0.0000032585604312682513,48,469,3.710158092036467e-7
48,0.0000035357643568448887,49,432,4.13785451589618e-7
49,0.000003830288668118933,50,391,4.5972181937040774e-7
50,0.000004142840223437438,51,598,4.5972181937040774e-7
51,0.0000044741400183144,52,451,5.34811381578347e-7
52,0.000004824923185430766,53,406,5.891593636891234e-7
53,0.000005195938994634414,54,706,6.773964911523361e-7
54,0.000005587950852940164,55,428,7.086561234537178e-7
55,0.000006001736304529781,56,394,7.086561234537178e-7
56,0.000006438087030751974,57,675,7.086561234537178e-7
57,0.0000068978088501223784,58,524,7.408629459401567e-7
58,0.000007381721718323592,59,382,7.740310957785941e-7
59,0.00000789065972820514,60,620,7.740310957785941e-7
60,0.000008425471109783484,61,642,8.43307926179229e-7
61,0.000008987018230242042,62,495,8.794448810753088e-7
62,0.000009576177593931166,63,504,9.165997119911517e-7
63,0.000010193839842368144,64,386,9.940195505498912e-7
64,0.00001084090975423722,65,707,0.000001075680539190977
65,0.000011518306245389556,66,323,0.000001075680539190977
66,0.000012226962368843276,67,395,0.000001075680539190977
67,0.00001296782531478343,68,509,0.0000011181368077097526
68,0.000013741856410562026,69,333,0.000001206371578978475
69,0.000014550031120697996,70,557,0.000001206371578978475
70,0.000015393339046877226,71,371,0.0000012521783560623042
71,0.000016272783927952534,72,462,0.0000012521783560623042
72,0.000017189383639943677,73,453,0.0000013472413789636037
73,0.000018144170196037386,74,698,0.0000013965258991149567
74,0.000019138189746587277,75,327,0.0000014469979412893665
75,0.000020172502579113942,76,380,0.0000016056805716203494
76,0.000021248183118304913,77,427,0.0000016610440735563983
77,0.000022366319926014675,78,592,0.0000016610440735563983
78,0.000023528015701264615,79,371,0.0000017176657833502102
79,0.000024734387280243076,80,262,0.0000018347403751788868
80,0.000025986565636305394,81,443,0.0000018347403751788868
81,0.000027285695879973762,82,300,0.0000018347403751788868
82,0.000028632937258937365,83,647,0.0000018952215315476334
83,0.000030029463158052316,84,433,0.0000019570174444419075
84,0.00003147646109934168,85,505,0.0000020201422510286505
85,0.00003297513274199546,86,396,0.0000020846100884748027
86,0.00003452669388237058,87,396,0.0000020846100884748027
87,0.00003613237445399093,88,237,0.0000020846100884748027
88,0.000037793418527547345,89,477,0.0000020846100884748027
89,0.00003951108431089754,90,489,0.0000021504350939473055
90,0.000041286644149066265,91,554,0.0000021504350939473055
91,0.00004312138452424516,92,471,0.000002356194490192331
92,0.000045016606055792774,93,422,0.000002356194490192331
93,0.00004697362350023467,94,421,0.000002574677336684395
94,0.00004899376575126334,95,724,0.000002806265336930909
95,0.00005107837583973815,96,396,0.000002806265336930909
96,0.000053228810933685456,97,508,0.000002968126473629161
97,0.00005544644233829855,98,573,0.0000030513401944392825
98,0.00005773265549593767,99,244,0.0000030513401944392825
99,0.00006008884998613002,100,415,0.0000030513401944392825
100,0.00006251643952556966,101,608,0.000003222404626816226
101,0.00006501685196811768,102,583,0.000003222404626816226
102,0.00006759152930480205,103,463,0.000003222404626816226
103,0.00007024192766381779,104,392,0.0000033102836127169293
104,0.00007296951731052666,105,353,0.0000033102836127169293
105,0.00007577578264745761,106,502,0.0000033102836127169293
106,0.0000786622222143063,107,356,0.000003399745961315042
107,0.00008163034868793543,108,275,0.0000034908058097775046
108,0.00008468168888237473,109,457,0.000003677774554963246
109,0.00008781778374882076,110,259,0.0000037737117260204067
110,0.00009104018837563698,111,317,0.0000037737117260204067
111,0.00009435047198835385,112,694,0.0000037737117260204067
