t,S′ [м²],N активних,T життя [с]
0,1.26E-07,1,214
1,2.83E-07,2,222
2,5.03E-07,3,92
3,7.85E-07,4,220
4,1.13E-06,5,159
5,1.54E-06,6,253
6,2.01E-06,7,292
7,2.54E-06,8,192
8,3.14E-06,9,260
9,3.80E-06,10,203
10,4.52E-06,11,303
11,5.31E-06,12,187
12,6.16E-06,13,276
13,7.07E-06,14,301
14,8.04E-06,15,212
15,9.08E-06,16,144
16,1.02E-05,17,183
17,1.13E-05,18,125
18,1.26E-05,19,185
19,1.39E-05,20,354
20,1.52E-05,21,155
21,1.66E-05,22,253
22,1.81E-05,23,328
23,1.96E-05,24,176
24,2.12E-05,25,294
25,2.29E-05,26,191
26,2.46E-05,27,204
27,2.64E-05,28,301
28,2.83E-05,29,272
29,3.02E-05,30,134
30,3.22E-05,31,175
31,3.42E-05,32,200
32,3.63E-05,33,232
33,3.85E-05,34,337
34,4.07E-05,35,129
35,4.30E-05,36,177
36,4.54E-05,37,217
37,4.78E-05,38,321
38,5.03E-05,39,288
39,5.28E-05,40,292
40,5.54E-05,41,153
41,5.81E-05,42,152
42,6.08E-05,43,117
43,6.36E-05,44,242
44,6.65E-05,45,241
45,6.94E-05,46,256
46,7.24E-05,47,272
47,7.54E-05,48,183
48,7.85E-05,49,178
49,8.17E-05,50,112
50,8.49E-05,51,196
51,8.82E-05,52,172
52,9.16E-05,53,246
53,9.50E-05,54,129
54,9.85E-05,55,209
55,0.000102070345315,56,108
56,0.000105683176867,57,316
57,0.000109358840271,58,216
58,0.000113097335529,59,179
59,0.00011689866264,60,319
60,0.000120762821604,61,213
61,0.000124689812421,62,202
62,0.000128679635091,63,229
63,0.000132732289614,64,224
64,0.00013684777599,65,147
65,0.00014102609422,66,325
66,0.000145267244302,67,177
67,0.000149571226237,68,380
68,0.000153938040026,69,255
69,0.000158367685667,70,142
70,0.000162860163162,71,179
71,0.00016741547251,72,88
72,0.000172033613711,73,192
73,0.000176714586764,74,29
74,0.000181458391671,75,343
75,0.000186265028431,76,137
76,0.000191134497044,77,193
77,0.000196066797511,78,260
78,0.00020106192983,79,283
79,0.000206119894002,80,218
80,0.000211240690027,81,149
81,0.000216424317906,82,275
82,0.000221670777637,83,253
83,0.000226980069222,84,196
84,0.00023235219266,85,339
85,0.00023778714795,86,360
86,0.000243284935094,87,160
87,0.000248845554091,88,110
88,0.000254469004941,89,198
89,0.000260155287644,90,5
90,0.0002659044022,91,99
91,0.000271716348609,92,173
92,0.000277591126871,93,250
93,0.000277371215385,94,111
94,0.000283245993648,93,69
95,0.000289183603763,94,230
96,0.000295184045731,95,6
97,0.000301247319553,96,149
98,0.000307373425227,97,329
99,0.000313562362755,98,164
100,0.000319814132135,99,215
101,0.000323866786659,100,113
102,0.000330118556039,99,97
103,0.000336433157273,100,290
104,0.00034281059036,101,223
105,0.0003492508553,102,251
106,0.000355753952093,103,110
107,0.000362319880739,104,346
108,0.000368948641238,105,342
109,0.00037564023359,106,372
110,0.000382394657795,107,32
111,0.000389211913853,108,62
112,0.000396092001765,109,151
113,0.000403034921529,110,227
114,0.000410040673147,111,206
115,0.000417109256617,112,244
116,0.000424240671941,113,310
117,0.000431434919117,114,142
118,0.000438691998147,115,86
119,0.00044601190903,116,340
120,0.000453394651766,117,191
121,0.000460840226355,118,190
122,0.000468348632797,119,60
123,0.000475919871092,120,52
124,0.000483553941241,121,119
125,0.000491250843242,122,174
126,0.000499010577096,123,170
127,0.000506833142804,124,255
128,0.000514718540364,125,316
129,0.000522666769778,126,34
130,0.000530677831044,127,195
131,0.000538751724164,128,132
132,0.000546888449137,129,125
133,0.000555088005963,130,125
134,0.000563350394642,131,225
135,0.000571675615174,132,200
136,0.000580063667559,133,229
137,0.000588514551797,134,187
138,0.000597028267888,135,259
139,0.000605604815832,136,144
140,0.00061424419563,137,161
141,0.000613018974495,138,74
142,0.000621658354292,137,19
143,0.000630360565943,138,224
144,0.000639125609446,139,180
145,0.000647953484803,140,199
146,0.000656844192013,141,59
147,0.000665797731075,142,174
148,0.000674814101991,143,124
149,0.00068389330476,144,217
150,0.000693035339382,145,228
151,0.000702240205857,146,107
152,0.000711507904185,147,124
153,0.000720838434366,148,196
154,0.0007302317964,149,318
155,0.000739687990288,150,104
156,0.000749207016028,151,3
