"t","S [м²]","N активних","T життя [с]"
0,3.141592653589793e-8,1,214
1,1.5707963267948966e-7,2,222
2,4.398229715025711e-7,3,92
3,9.42477796076938e-7,4,220
4,0.0000017278759594743862,5,159
5,0.000002858849314766712,6,253
6,0.00000439822971502571,7,292
7,0.000006408849013323177,8,192
8,0.000008953539062730908,9,260
9,0.000012095131716320702,10,203
10,0.00001589645882716435,11,303
11,0.000020420352248333652,12,187
12,0.000025729643832900402,13,276
13,0.000031887165433936395,14,301
14,0.00003895574890451343,15,212
15,0.00004699822609770331,16,144
16,0.00005607742886657782,17,183
17,0.00006625618906420874,18,125
18,0.00007759733854366791,19,185
19,0.00009016370915802708,20,354
20,0.00010401813276035808,21,155
21,0.00011922344120373268,22,253
22,0.00013584246634122267,23,328
23,0.00015393804002589986,24,176
24,0.0001735729941108361,25,294
25,0.0001948101604491031,26,191
26,0.0002177123708937727,27,204
27,0.00024234245729791673,28,301
28,0.000268763251514607,29,272
29,0.0002970375853969152,30,134
30,0.0003272282907979131,31,175
31,0.00035939819957067257,32,200
32,0.0003936101435682654,33,232
33,0.00042992695464376347,34,337
34,0.0004684114646502385,35,129
35,0.0005091265054407619,36,177
36,0.0005521349088684063,37,217
37,0.0005974995067862431,38,321
38,0.000645283131047344,39,288
39,0.0006955486135047807,40,292
40,0.0007483587860116251,41,153
41,0.0008037764804209492,42,152
42,0.0008618645285858245,43,117
43,0.0009226857623593228,44,242
44,0.0009863030135945168,45,241
45,0.0010527791141444769,46,256
46,0.0011221768958622758,47,272
47,0.0011945591906009844,48,183
48,0.001269988830213675,49,178
49,0.0013485286465534198,50,112
50,0.0014302414714732904,51,196
51,0.0015151901368263584,52,172
52,0.0016034374744656956,53,246
53,0.0016950463162443738,54,129
54,0.0017900794940154648,55,209
55,0.0018885998396320407,56,108
56,0.0019906701849471712,57,316
57,0.0020963533618139317,58,216
58,0.002205712202085392,59,179
59,0.002318809537614624,60,319
60,0.002435708200254701,61,213
61,0.002556471021858692,62,202
62,0.002681160834279671,63,229
63,0.0028098404693707086,64,224
64,0.002942572758984877,65,147
65,0.003079420534975248,66,325
66,0.0032204466291948937,67,177
67,0.0033657138734968857,68,380
68,0.0035152850997342954,69,255
69,0.0036692231397601953,70,142
70,0.0038275908254276564,71,179
71,0.003990450988589752,72,88
72,0.004157866461099552,73,192
73,0.004329900074810129,74,29
74,0.004506614661574555,75,343
75,0.0046880730532459,76,137
76,0.0048743380816772385,77,193
77,0.005065472578721641,78,260
78,0.005261539376232178,79,283
79,0.005462601306061925,80,218
80,0.00566872120006395,81,149
81,0.005879961890091327,82,275
82,0.006096386207997128,83,253
83,0.006318056985634423,84,196
84,0.006545037054856285,85,339
85,0.006777389247515785,86,360
86,0.007015176395465995,87,160
87,0.007258461330559988,88,110
88,0.007507306884650836,89,198
89,0.007761775889591606,90,5
90,0.008021931177235373,91,99
91,0.008287835579435214,92,173
92,0.008559551928044194,93,250
93,0.008837143054915385,94,111
94,0.009114514270300828,93,69
95,0.009397760263948481,94,230
96,0.009686943867711422,95,6
97,0.009982127913442716,96,149
98,0.010283375232995441,97,329
99,0.010590748658222664,98,164
100,0.01090431102097746,99,215
101,0.011224125153112899,100,113
102,0.01154799193977147,99,97
103,0.011878110495810685,100,290
104,0.012214543653083615,101,223
105,0.01255735424344333,102,251
106,0.012906605098742906,103,110
107,0.013262359050835414,104,346
108,0.013624678931573925,105,342
109,0.01399362757281151,106,372
110,0.01436926780640124,107,32
111,0.014751662464196187,108,62
112,0.015140874378049425,109,151
113,0.015536966379814025,110,227
114,0.015940001301343067,111,206
115,0.016350041974489592,112,244
116,0.016767151231106715,113,310
117,0.017191391903047474,114,142
118,0.017622826822164962,115,86
119,0.018061518820312237,116,340
120,0.018507530729342376,117,191
121,0.018960925381108457,118,190
122,0.019421765607463542,119,60
123,0.019890114240260704,120,52
124,0.020366034111353026,121,119
125,0.020849588052593567,122,174
126,0.021340838895835403,123,170
127,0.021839849472931595,124,255
128,0.022346682615735237,125,316
129,0.022861401156099383,126,34
130,0.023384067925877116,127,195
131,0.02391474575692151,128,132
132,0.024453497481085624,129,125
133,0.025000385930222527,130,125
134,0.02555547393618531,131,225
135,0.026118824330827035,132,200
136,0.02669049994600076,133,229
137,0.02727056361355958,134,187
138,0.027859078165356554,135,259
139,0.02845610643324475,136,144
140,0.029061711249077252,137,161
141,0.029675955444707126,138,74
142,0.030288974419202103,137,19
143,0.030910632773494446,138,224
144,0.031540993339437225,139,180
145,0.03218011894888353,140,199
146,0.03282807243368643,141,59
147,0.03348491662569897,142,174
148,0.03415071435677425,143,124
149,0.03482552845876534,144,217
150,0.035509421763525305,145,228
151,0.03620245710290719,146,107
152,0.036904697308764126,147,124
153,0.03761620521294912,148,196
154,0.03833704364731529,149,318
155,0.0390672754437157,150,104
156,0.03980696343400341,151,3
157,0.0405561704500315,152,226
158,0.04131495932365304,153,132
159,0.04206115041073369,150,175
160,0.04281679769170163,151,43
161,0.043573670193804474,150,51
162,0.044339998889794625,151,127
163,0.045075885552971505,146,123
164,0.04582097708262339,147,51
165,0.04657533631060336,148,103
166,0.0473390260687645,149,31
167,0.04811210918895987,150,149
168,0.04889464850304256,151,211
169,0.04968670684286563,152,365
170,0.050488347040282114,153,114
171,0.05129963192714515,154,221
172,0.05212062433530775,155,297
173,0.05294746010580605,155,245
174,0.05378406622945701,156,124
175,0.05461743651267476,155,169
176,0.05546057714904519,156,144
177,0.05631355097042136,157,102
178,0.057176420808656335,158,153
179,0.05804924949560317,159,188
180,0.05893209986311499,160,235
181,0.059825034743044805,161,208
182,0.06071617891516209,160,182
183,0.06161740759969739,161,435
184,0.06252878362850381,162,182
185,0.06345036983343434,163,187
186,0.06438222904634217,164,252
187,0.06532442409908026,165,150
188,0.06627701782350176,166,306
189,0.06723382128207905,166,170
190,0.06820108624419285,167,171
191,0.06917887554169613,168,284
192,0.070167252006442,169,84
193,0.07114705192324362,168,210
194,0.07213743900728778,169,256
195,0.0731384760904276,170,118
196,0.07415022600451622,171,41
197,0.07516382945827042,170,245
198,0.07617636477052242,170,62
199,0.0771587722092265,167,30
200,0.07815170398332008,168,114
201,0.07915522292465628,169,56
202,0.08016939186508813,170,61
203,0.08117988514211524,169,66
204,0.0821885877113299,168,213
205,0.0831931119623152,167,93
206,0.08420816054869013,168,120
207,0.08523379630230755,169,208
208,0.08627008205502072,170,137
209,0.08731708063868256,171,81
210,0.0883748548851463,172,116
211,0.08942524638887402,171,321
212,0.09045059939915266,168,127
213,0.09148653957667388,169,56
214,0.09251252090548323,168,226
215,0.09354117258804813,167,57
216,0.09456137338637494,166,223
217,0.09559203568823814,167,109
218,0.09663322232549082,168,5
219,0.09768499612998617,169,171
220,0.09874741993357715,170,26
221,0.09982055656811689,171,158
222,0.10090446886545845,172,308
223,0.10196020107669732,169,202
