"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.3561944901923453e-12,1,323,2.3561944901923453e-12
1,2.1205750411731107e-11,2,473,2.3561944901923453e-12
2,8.482300164692444e-11,3,276,2.3561944901923453e-12
3,2.356194490192346e-10,4,310,1.8849555921538762e-11
4,5.301437602932776e-10,5,275,1.8849555921538762e-11
5,1.039081770174824e-9,6,641,1.8849555921538762e-11
6,1.8472564803107981e-9,7,735,1.8849555921538762e-11
7,3.0536280592892785e-9,8,895,1.8849555921538762e-11
8,4.7712938426394975e-9,9,1180,6.361725123519334e-11
9,7.1274883328318425e-9,10,775,6.361725123519334e-11
10,1.0263583199277853e-8,11,652,6.361725123519334e-11
11,1.4335087278330219e-8,12,255,6.361725123519334e-11
12,1.9511646573282804e-8,13,301,6.361725123519334e-11
13,2.59770442543706e-8,14,207,1.507964473723101e-10
14,3.3929200658769766e-8,15,500,1.507964473723101e-10
15,4.358017329059761e-8,16,376,1.507964473723101e-10
16,5.515615682091262e-8,17,609,1.507964473723101e-10
17,6.88974830877144e-8,18,347,2.945243112740431e-10
18,8.505862109594367e-8,19,372,2.945243112740431e-10
19,1.0390817701748246e-7,20,345,2.945243112740431e-10
20,1.2572889419115378e-7,21,525,2.945243112740431e-10
21,1.508176531227219e-7,22,483,2.945243112740431e-10
22,1.7948547148489217e-7,23,552,2.945243112740431e-10
23,2.1205750411731116e-7,24,411,5.089380098815463e-10
24,2.488730430265666e-7,25,724,5.089380098815463e-10
25,2.9028551738618734e-7,26,365,5.089380098815463e-10
26,3.366624935366433e-7,27,574,5.089380098815463e-10
27,3.8838567498534573e-7,28,309,8.081747101359741e-10
28,4.4585090240664694e-7,29,373,8.081747101359741e-10
29,5.094681536418402e-7,30,644,8.081747101359741e-10
30,5.796615436991607e-7,31,583,1.2063715789784804e-9
31,6.568693247537833e-7,32,366,1.2063715789784804e-9
32,7.415438861478259e-7,33,399,1.2063715789784804e-9
33,8.341517543903459e-7,34,562,1.2063715789784804e-9
34,9.351735931573427e-7,35,327,1.2063715789784804e-9
35,0.0000010451042032917572,36,373,1.717665783350219e-9
36,0.0000011644525228034702,37,324,1.717665783350219e-9
37,0.0000012937416268693048,38,636,1.717665783350219e-9
38,0.0000014335087278330244,39,380,1.717665783350219e-9
39,0.000001584305175205335,40,545,2.356194490192344e-9
40,0.0000017466964556638819,41,617,2.356194490192344e-9
41,0.0000019212621930532522,42,513,2.356194490192344e-9
42,0.000002108596148384975,43,643,3.13609486644601e-9
43,0.0000023093062198375198,44,371,3.13609486644601e-9
44,0.0000025240144427562966,45,619,3.13609486644601e-9
45,0.0000027533569896536586,46,556,3.13609486644601e-9
46,0.0000029979841702088985,47,756,3.13609486644601e-9
47,0.0000032585604312682496,48,521,3.13609486644601e-9
48,0.000003535764356844889,49,598,4.0715040790523705e-9
49,0.0000038302886681189314,50,760,4.0715040790523705e-9
50,0.000004142840223437434,51,806,4.0715040790523705e-9
51,0.000004474140018314401,52,494,4.0715040790523705e-9
52,0.000004824923185430768,53,495,5.176559294952582e-9
53,0.000005195938994634413,54,557,5.176559294952582e-9
54,0.000005587950852940164,55,560,5.176559294952582e-9
55,0.000006001736304529783,56,417,5.176559294952582e-9
56,0.000006438087030751973,57,466,6.465397681087796e-9
57,0.0000068978088501223784,58,526,6.465397681087796e-9
