"t","S [м²]","N активних","T життя [с]"
0,3.141592653589793e-8,1,295
1,1.5707963267948966e-7,2,244
2,4.398229715025711e-7,3,324
3,9.42477796076938e-7,4,143
4,0.0000017278759594743862,5,433
5,0.000002858849314766712,6,131
6,0.00000439822971502571,7,209
7,0.000006408849013323177,8,231
8,0.000008953539062730908,9,192
9,0.000012095131716320702,10,247
10,0.00001589645882716435,11,427
11,0.000020420352248333652,12,270
12,0.000025729643832900402,13,49
13,0.000031887165433936395,14,436
14,0.00003895574890451343,15,223
15,0.00004699822609770331,16,288
16,0.00005607742886657782,17,200
17,0.00006625618906420874,18,495
18,0.00007759733854366791,19,355
19,0.00009016370915802708,20,125
20,0.00010401813276035808,21,275
21,0.00011922344120373268,22,181
22,0.00013584246634122267,23,193
23,0.00015393804002589986,24,427
24,0.0001735729941108361,25,268
25,0.0001948101604491031,26,183
26,0.0002177123708937727,27,216
27,0.00024234245729791673,28,421
28,0.000268763251514607,29,215
29,0.0002970375853969152,30,151
30,0.0003272282907979131,31,273
31,0.00035939819957067257,32,355
32,0.0003936101435682654,33,225
33,0.00042992695464376347,34,209
34,0.0004684114646502385,35,263
35,0.0005091265054407619,36,174
36,0.0005521349088684063,37,134
37,0.0005974995067862431,38,294
38,0.000645283131047344,39,255
39,0.0006955486135047807,40,161
40,0.0007483587860116251,41,309
41,0.0008037764804209492,42,489
42,0.0008618645285858245,43,431
43,0.0009226857623593228,44,158
44,0.0009863030135945168,45,136
45,0.0010527791141444769,46,229
46,0.0011221768958622758,47,259
47,0.0011945591906009844,48,212
48,0.001269988830213675,49,105
49,0.0013485286465534198,50,12
50,0.0014302414714732904,51,233
51,0.0015151901368263584,52,301
52,0.0016034374744656956,53,306
53,0.0016950463162443738,54,333
54,0.0017900794940154648,55,150
55,0.0018885998396320407,56,300
56,0.0019906701849471712,57,155
57,0.0020963533618139317,58,175
58,0.002205712202085392,59,180
59,0.002318809537614624,60,129
60,0.002435708200254701,61,221
61,0.002552575446968241,60,289
62,0.0026732440207926245,61,137
63,0.0027977767535809234,62,156
64,0.0029262364771862103,63,106
65,0.0030586860234615553,64,177
66,0.003195188224260032,65,210
67,0.003335805911434711,66,286
68,0.003480601916838664,67,235
69,0.0036296390723249633,68,188
70,0.0037829802097466814,69,155
71,0.0039406881609568905,70,354
72,0.0041028257578086605,71,116
73,0.004269455832155062,72,473
74,0.004440641215849169,73,218
75,0.004616444740744054,74,144
76,0.004796929238692787,75,251
77,0.00498215754154844,76,93
78,0.005172192481164085,77,157
79,0.0053670968893927955,78,166
80,0.0055669335980876415,79,518
81,0.005771765439101696,80,103
82,0.005981655244288029,81,450
83,0.006196665845499715,82,314
84,0.006416860074589822,83,143
85,0.006642300763411425,84,51
86,0.006873050743817594,85,149
87,0.007109172847661402,86,132
88,0.007350729906795922,87,193
89,0.007597784753074222,88,127
90,0.007850400218349374,89,206
91,0.008108639134474453,90,226
92,0.008372564333302529,91,229
93,0.008642238646686676,92,251
94,0.008917724906479964,93,42
95,0.009199085944535463,94,212
96,0.009486384592706251,95,123
97,0.009779683682845392,96,87
98,0.010079046046805963,97,102
99,0.010384534516441033,98,298
100,0.010696211923603675,99,395
101,0.011014141100146957,100,191
102,0.01133838487792396,101,135
103,0.01166900608878775,102,360
104,0.012006067564591395,103,189
105,0.012349632137187974,104,212
106,0.012699762638430555,105,283
107,0.013056521900172213,106,80
108,0.013419972754266016,107,207
109,0.013790178032565034,108,577
110,0.014167200566922344,109,137
111,0.014551103189191016,110,177
112,0.01494194873122412,111,214
113,0.015339800024874735,112,232
114,0.015744719901995916,113,189
115,0.01615677119444076,114,479
116,0.016576016734062313,115,189
117,0.01700251935271366,116,264
118,0.01743634188224787,117,28
119,0.01787754715451802,118,132
120,0.018326198001377175,119,154
121,0.018782357254678413,120,15
122,0.019246087746274804,121,183
123,0.019717452308019415,122,99
124,0.02019651377176532,123,108
125,0.02068333496936559,124,158
126,0.021177978732673308,125,195
127,0.021680507893541524,126,394
128,0.022190985283823326,127,73
129,0.02270947373537178,128,58
130,0.023236036080039966,129,268
131,0.023770735149680953,130,204
132,0.024313633776147803,131,96
133,0.024864794791293592,132,11
134,0.0254242810269714,133,54
135,0.02599215531503429,134,283
136,0.026553338010745026,131,137
137,0.027122783095134714,132,65
138,0.027700553400056407,133,154
139,0.028286711757363192,134,203
140,0.028881320998908132,135,178
141,0.029484443956544294,136,195
142,0.030096143462124754,137,57
143,0.030716482347502596,138,133
144,0.03133691548066003,137,91
145,0.03196598799361486,138,299
146,0.03259295563949176,137,94
147,0.03322856266516606,138,61
148,0.033872871902490775,139,377
149,0.03452594618331903,140,221
150,0.03518784833950385,141,265
151,0.03585864120289832,142,58
152,0.03653838760535556,143,248
153,0.0372205216182295,143,127
154,0.03791167200201924,144,275
155,0.03861190158857787,145,250
156,0.03932127320975843,146,179
157,0.04003984969741404,147,156
158,0.040767693883397696,148,168
159,0.04150486859956255,149,128
160,0.04225143667776162,150,78
161,0.043007460949847996,151,61
162,0.043773004247674746,152,49
163,0.04454812940309495,153,98
164,0.04533289924796169,154,389
165,0.046127376614127996,155,138
166,0.04693162433344698,156,76
167,0.0477457052377717,157,278
168,0.04856968215895523,158,2
169,0.049403617928850646,159,31
170,0.05022640104482579,156,139
171,0.05105901734580669,157,118
172,0.051901529663646404,158,86
173,0.05275400083019798,159,150
174,0.053616493677314525,160,77
175,0.05448907103684909,161,68
176,0.055371795740654754,162,28
177,0.05626473062058456,163,48
178,0.05716793850849164,164,131
179,0.05808148223622902,165,351
180,0.05898732906196509,164,159
181,0.05990351172753147,165,265
182,0.06083009306478125,166,215
183,0.061767135905567476,167,41
184,0.06270270219780653,166,112
185,0.063648729993582,167,122
186,0.06460528212474706,168,260
187,0.06556368779557767,167,87
188,0.06651373682994978,165,55
189,0.06747418453600525,166,195
190,0.06844509374559718,167,260
191,0.06942652729057865,168,116
192,0.07041854800280267,169,112
193,0.07142121871412241,170,31
194,0.07243460225639088,171,172
195,0.07345876146146114,172,143
196,0.07449375916118628,173,135
197,0.07553965818741942,174,208
198,0.07659652137201355,175,115
199,0.07765215933547279,174,115
200,0.078688099512994,171,290
201,0.07972023836340443,170,64
202,0.08074757057705481,169,90
203,0.08178555278980087,170,40
204,0.08282300093179586,169,142
205,0.08387109907288647,170,336
206,0.08492991004492585,171,31
207,0.08599949667976704,172,81
208,0.08706452800526052,171,132
209,0.0881256951717901,170,172
210,0.08919757516926838,171,48
211,0.09026735029966879,170,208
212,0.09134783826101792,171,118
213,0.09243910188516889,172,186
214,0.09354120400397474,173,13
215,0.09462888621250055,172,505
216,0.09570679806787377,171,150
217,0.09679548558604881,172,209
218,0.09789501159887873,173,254
219,0.09897044159605554,170,267
220,0.10005658442418117,171,129
221,0.10115350291510858,172,128
222,0.10225114397234632,171,239
223,0.10335956069238587,172,196
224,0.10447422918180604,171,141
225,0.10558685563600143,170,105
226,0.10671019492114556,171,155
227,0.10783444526815925,170,244
228,0.10896334517230019,170,9
229,0.11010295790738989,171,45
230,0.11125334630528137,172,414
