"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.945243112740431e-10,1,94.5,2.945243112740431e-10
1,8.246680715673207e-9,2,129.5,2.945243112740431e-10
2,4.50622196249286e-8,3,69,2.945243112740431e-10
3,1.4608405839192537e-7,4,63,2.945243112740431e-10
4,3.607922813107028e-7,5,125.5,2.945243112740431e-10
5,7.528041396164542e-7,6,128,2.945243112740431e-10
6,0.000001399874051485527,7,81,2.945243112740431e-10
7,0.0000023938936020354224,8,41,2.945243112740431e-10
8,0.000003840891543324796,9,85.5,2.945243112740431e-10
9,0.0000058610337943534565,10,39,2.356194490192345e-9
10,0.00000858862344106237,11,116,2.356194490192345e-9
11,0.000012172100736333652,12,81,2.356194490192345e-9
12,0.000016774043099990576,13,195,2.356194490192345e-9
13,0.000022571165118797566,14,73,2.356194490192345e-9
14,0.000029754318546460206,15,67,2.356194490192345e-9
15,0.00003852849230362522,16,56,2.356194490192345e-9
16,0.0000491128124778805,17,55,7.952156404399164e-9
17,0.0000617405423237551,18,97,7.952156404399164e-9
18,0.0000766590822627192,19,23,7.952156404399164e-9
19,0.00009412996988318416,20,144,7.952156404399164e-9
20,0.0001144288799405025,21,61,7.952156404399164e-9
21,0.00013784562435696787,22,136,7.952156404399164e-9
22,0.00016468415222181502,23,51,7.952156404399164e-9
23,0.00019526254979122,24,96.5,1.884955592153876e-8
24,0.00022991304048829985,25,86,1.884955592153876e-8
25,0.000268981984903113,26,87,1.884955592153876e-8
26,0.0003128298807926586,27,53,1.884955592153876e-8
27,0.0003618313630808776,28,103.5,1.884955592153876e-8
28,0.00041637520385865145,29,43,1.884955592153876e-8
29,0.0004768643123838031,30,73,1.884955592153876e-8
30,0.0005437157350810967,31,69.5,3.681553890925539e-8
31,0.0006173606555422373,32,110,3.681553890925539e-8
32,0.0006982443945258717,33,41.5,3.681553890925539e-8
33,0.0007868264099575867,34,8,3.681553890925539e-8
34,0.0008835802969299111,35,32,3.681553890925539e-8
35,0.0009889937877023153,36,67,3.681553890925539e-8
36,0.0011035687517012096,37,90,3.681553890925539e-8
37,0.0012278211955199466,38,41,3.681553890925539e-8
38,0.0013622812629188194,39,52.5,3.681553890925539e-8
39,0.0015074932348250621,40,94,6.361725123519331e-8
40,0.0016640155293328508,41,47,6.361725123519331e-8
41,0.0018302694961337567,40,90,6.361725123519331e-8
42,0.0020064990013575145,41,78,6.361725123519331e-8
43,0.0021953182427909917,42,58,6.361725123519331e-8
44,0.0023973139128622475,43,50.5,6.361725123519331e-8
45,0.002613086841166281,44,94.5,6.361725123519331e-8
46,0.0028432519944650322,45,79,6.361725123519331e-8
47,0.00308843847668738,46,116,6.361725123519331e-8
48,0.0033378307660747245,45,51.5,6.361725123519331e-8
49,0.0035912238737064134,46,78,6.361725123519331e-8
50,0.003860437060193876,47,42,6.361725123519331e-8
51,0.0041461277037998755,48,78.5,6.361725123519331e-8
52,0.00444896731995412,49,26,6.361725123519331e-8
53,0.004769641561253252,50,73,6.361725123519331e-8
54,0.005108850217460859,51,94,6.361725123519331e-8
55,0.005467307215507468,52,94,1.0102183876699678e-7
56,0.005845740619490552,53,79.5,1.0102183876699678e-7
57,0.00624489263067452,54,52.5,1.0102183876699678e-7
58,0.006665519587490724,55,15,1.0102183876699678e-7
59,0.007108391965537458,56,87.5,1.0102183876699678e-7
60,0.007574294377579952,57,62,1.5079644737231008e-7
61,0.008064025573550383,58,91,1.5079644737231008e-7
62,0.008578398440547865,59,95,1.5079644737231008e-7
63,0.009118240002838472,60,67.5,1.5079644737231008e-7
64,0.009684391421855175,61,62,1.5079644737231008e-7
65,0.010277707996197934,62,49,1.5079644737231008e-7
66,0.010881243975093276,61,98.5,1.5079644737231008e-7
67,0.011494861521163533,62,91.5,1.5079644737231008e-7
