"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.945243112740431e-10,1,111,2.945243112740431e-10
1,8.246680715673207e-9,2,69.5,2.945243112740431e-10
2,4.50622196249286e-8,3,122,2.945243112740431e-10
3,1.4608405839192537e-7,4,109.5,2.356194490192345e-9
4,3.607922813107028e-7,5,85,2.356194490192345e-9
5,7.528041396164543e-7,6,81,2.356194490192345e-9
6,0.000001399874051485527,7,51.5,2.356194490192345e-9
7,0.000002393893602035422,8,95,2.356194490192345e-9
8,0.000003840891543324796,9,38,2.356194490192345e-9
9,0.000005861033794353458,10,119,2.356194490192345e-9
10,0.00000858862344106237,11,93.5,2.356194490192345e-9
11,0.000012172100736333652,12,110,2.356194490192345e-9
12,0.000016774043099990572,13,167.5,7.952156404399164e-9
13,0.000022571165118797566,14,77.5,7.952156404399164e-9
14,0.000029754318546460206,15,32,7.952156404399164e-9
15,0.00003852849230362522,16,36.5,7.952156404399164e-9
16,0.000049112812477880506,17,97.5,7.952156404399164e-9
17,0.0000617405423237551,18,103,1.884955592153876e-8
18,0.00007665908226271922,19,88,1.884955592153876e-8
19,0.0000941299698831842,20,32.5,1.884955592153876e-8
20,0.0001144288799405025,21,135,1.884955592153876e-8
21,0.00013784562435696784,22,75,1.884955592153876e-8
22,0.000164684152221815,23,86,1.884955592153876e-8
23,0.00019526254979121998,24,82.5,3.681553890925539e-8
24,0.00022991304048829988,25,105,6.361725123519331e-8
25,0.000268981984903113,26,55,6.361725123519331e-8
26,0.0003128298807926587,27,44.5,6.361725123519331e-8
27,0.0003618313630808776,28,79,6.361725123519331e-8
28,0.00041637520385865155,29,80,6.361725123519331e-8
29,0.00047686431238380325,30,43.5,6.361725123519331e-8
30,0.000543715735081097,31,75.5,6.361725123519331e-8
31,0.0006173606555422375,32,108,1.0102183876699678e-7
32,0.0006982443945258714,33,94.5,1.0102183876699678e-7
33,0.0007868264099575868,34,83.5,1.0102183876699678e-7
34,0.0008835802969299112,35,68,1.0102183876699678e-7
35,0.0009889937877023153,36,93,1.0102183876699678e-7
36,0.0011035687517012098,37,75,1.0102183876699678e-7
37,0.0012278211955199462,38,140.5,1.0102183876699678e-7
38,0.001362281262918819,39,63.5,1.5079644737231008e-7
39,0.001507493234825062,40,68,1.5079644737231008e-7
40,0.0016640155293328508,41,126.5,1.5079644737231008e-7
41,0.0018324207017033022,42,84.5,1.5079644737231008e-7
42,0.002013295444364474,43,65,1.5079644737231008e-7
43,0.0022072405869113655,44,81,2.1470822291877744e-7
44,0.002414871096105915,45,134.5,2.1470822291877744e-7
45,0.002636816075877008,46,61.5,2.1470822291877744e-7
46,0.002864871846058414,45,67.5,2.1470822291877744e-7
