"t","S [м²]","N активних","T життя [с]"
0,7.853981633974483e-7,1,57
1,0.000007853981633974482,2,33.5
2,0.00002748893571891069,3,35.5
3,0.00006597344572538565,4,86.5
4,0.00012959069696057894,5,33.5
5,0.00022462387473167018,6,74
6,0.00035735616434583894,7,55.5
7,0.0005340707511102648,8,58
8,0.0007610508203321274,9,29.5
9,0.001044579557318606,10,28.5
10,0.001390940147376881,11,24.5
11,0.0018064157758141308,12,35
12,0.0022972896279375363,13,15.5
13,0.002869844889054276,14,48.5
14,0.00353036474447153,15,20
15,0.004285132379496477,16,29
16,0.005140430979436298,17,41
17,0.006102543729598172,18,10.5
18,0.00717775381528928,19,72
19,0.008372344421816799,20,60
20,0.00969259873448791,21,14
21,0.011144799938609793,22,23
22,0.012735231219489626,23,19
23,0.01447017576243459,24,85.5
24,0.016355916752751866,25,46.5
25,0.018398737375748625,26,48.5
26,0.02060492081673206,27,9
27,0.02298075026100934,28,34
28,0.025362862890593803,27,77
29,0.02791462152347211,28,27.5
30,0.03064230934495145,29,31
31,0.03355220954033899,30,34
32,0.03665060529494193,31,9
33,0.03994377979406742,32,30
34,0.043329631276473816,31,41
35,0.04640525048433823,29,30
36,0.04963559313039193,30,35
37,0.05305443133566101,31,37.5
38,0.05585751738082652,28,71
39,0.05883653261459303,29,56.5
40,0.061997760222267766,30,55.5
41,0.06525794799853056,29,10.5
42,0.06861395435072787,30,4
43,0.07215845626214056,31,10.5
44,0.07573280330376235,30,48
45,0.07933385388293963,31,23
46,0.08300559029682274,30,29
47,0.08674487095275794,31,43
48,0.09067893035321578,32,23
49,0.09481405168350333,33,39.5
50,0.09915651812892783,34,36.5
51,0.10371261287479641,35,53.5
52,0.10841950406803734,35,21.5
53,0.11334630674702953,36,35.5
54,0.11843018905870122,36,14
55,0.12374026604143136,37,8
56,0.12928282088052714,38,0.5
57,0.13457247751100895,35,8
58,0.13977574034351703,36,12.5
59,0.1452051978470836,37,15.5
60,0.1508671332070158,38,1.5
61,0.15656205528981068,37,5
62,0.16161452167494653,35,41
63,0.16676594822867036,34,36.5
64,0.17201319335832874,35,2
65,0.17706880133611813,32,10
66,0.1818966438465222,31,13
67,0.18689884474920054,32,26.5
68,0.19198429785719903,31,33.5
69,0.19714986157786404,32,39
70,0.20251648722835883,33,17.5
71,0.20752968370532474,30,38.5
72,0.21255073416392462,31,18
73,0.21776656336704703,32,49
74,0.22273734834318945,31,15.5
75,0.22730993645048947,27,24.5
76,0.23180319934328625,28,29
77,0.23647239142468413,29,16
78,0.24132379587999014,30,26.5
79,0.24589952557994368,28,17
80,0.2501917265429107,29,6
81,0.2546661398797861,30,34.5
82,0.2593290487758769,31,43
83,0.2641867364164902,32,27.5
84,0.2692454859869331,33,1
85,0.274507653681696,33,89
86,0.2799551753430207,33,22.5
87,0.28535950010535854,33,35
88,0.29085807264730407,33,24
89,0.2960864682210408,32,48.5
90,0.30044856962055033,28,19
91,0.3045711245802235,29,17
92,0.3087243100682693,29,38
93,0.3128586460003934,29,15
94,0.3169560682188379,29,4
95,0.32123570281119057,30,58
96,0.3249396405497729,28,28
97,0.3287668858000088,29,7.5
98,0.332762991655375,29,48
99,0.33692952891219846,30,21.5
100,0.3408950042391921,29,33.5
101,0.34504269194009407,30,18
102,0.3491652468997673,30,20
103,0.3533467067216952,30,6.5
104,0.3575886422022049,31,10.5
105,0.36113157331729084,27,18.5
106,0.3645127124107168,28,15
107,0.3680697806927439,29,18.5
108,0.37158365207578403,27,14.5
109,0.37407729124457084,24,15
110,0.37615152779410355,23,18.5
111,0.37819434841710037,23,11
112,0.38030549868031266,23,2.5
113,0.3824865493800674,24,28.5
114,0.38481839652719435,25,14.5
115,0.3872193587127004,24,16.5
116,0.38955120585982744,24,17.5
117,0.3920338494543268,25,49.5
118,0.39467357268150555,26,10
119,0.3974193246607431,26,8.5
120,0.400272676188366,27,9
121,0.4031095343545575,26,37.5
122,0.40569899209927895,23,2.5
123,0.40798057376394853,23,12.5
124,0.41015062888941567,21,6.5
125,0.4121643897803667,20,22
126,0.414050130770684,20,11.5
127,0.4160615354671448,21,23.5
128,0.41811613706259254,20,43
129,0.42002308380332154,18,2.5
130,0.42189547302486113,18,6
131,0.42371838216210655,18,11.5
132,0.4255287249287377,17,9.5
133,0.42744588184559085,18,16
134,0.42914941046199984,17,39.5
135,0.430959753228631,18,0.5
136,0.4327755937824059,16,38.5
137,0.43467390114333765,17,16
138,0.43629574835075324,16,16
139,0.4380181265230839,17,4
140,0.4398473188456366,18,14
141,0.44178960850371846,19,9.5
142,0.4436062344556568,18,25.5
143,0.44544720775066043,17,19
144,0.44738321422343513,18,13
145,0.4494323180317391,19,13.5
146,0.4514492205153437,19,0.5
147,0.45335930884872633,18,40
148,0.45531416487742254,19,26
149,0.45733735054633434,19,5
150,0.4594304366517885,20,29
151,0.4614355581629423,19,28
152,0.46356006019493246,20,6
153,0.4655761772803736,19,51.5
154,0.46736845588924664,17,28
155,0.4691599490999561,18,13.5
156,0.471064539646195,19,15
157,0.4730468846106102,19,30
158,0.47508891983544344,19,7.5
159,0.4769055457873818,18,19.5
160,0.47883526907484936,19,35
161,0.4808843728831532,20,2
162,0.48299866473901926,20,19
163,0.4851726468553033,20,21.5
164,0.4874667948905872,21,7
165,0.489892889817322,22,7
166,0.4924069493383572,22,13
167,0.4947450796707914,22,16
168,0.49705807726199686,22,11
169,0.4994213403356598,22,4.5
170,0.5019228334860804,23,17
171,0.504362280181593,21,57
172,0.5067090498938246,21,1
173,0.5091626337562783,21,6
174,0.5111002110253797,18,7
175,0.5125461290441944,18,8.5
176,0.5141051443985384,19,20.5
177,0.5157835402737188,20,13.5
178,0.5175875998550425,21,9
179,0.5191206970699943,16,2.5
180,0.5204849336798159,17,18.5
181,0.5218727322345391,16,8
182,0.5231733515931253,15,7
183,0.5244299886545613,15,18.5
184,0.5256748447435461,15,31
185,0.5268757185353806,15,10.5
186,0.5281708401068232,16,2
187,0.5292617581557821,13,13
188,0.5301288377281728,13,12
189,0.5310234062362827,12,22.5
