t,S [м²],N активних,T життя [с]
0,7.85398163397448E-07,25.953125,39.5375
1,7.85398163397448E-06,26.46875,39.6875
2,2.74889357189107E-05,26.953125,40.425
3,6.59734457253856E-05,27.40625,39.9
4,0.000129590696961,27.796875,39.175
5,0.000224623874732,28.15625,38.45
6,0.000357356164346,28.515625,37.25
7,0.00053407075111,28.828125,36.475
8,0.000761050820332,29.140625,35.475
9,0.001044579557319,29.453125,34.375
10,0.001390940147377,29.765625,33.825
11,0.001806415775814,30.078125,33.1625
12,0.002297289627938,30.34375,32.0125
13,0.002869844889054,30.609375,31.6625
14,0.003530364744472,30.859375,31.4875
15,0.004285132379496,31.109375,31.0125
16,0.005140430979436,31.3125,30.975
17,0.006102543729598,31.5,31.0875
18,0.007177753815289,31.6875,32.3875
19,0.008372344421817,31.84375,33.4625
20,0.009625054492436,32,32.95
21,0.010932742434493,32.1875,32.925
22,0.012366094082693,32.296875,32.05
23,0.013931392622344,32.40625,32.2
24,0.015634921238753,32.484375,32.4125
25,0.017482963117227,32.5625,31.05
26,0.019481801443074,32.625,30.55
27,0.0216377194016,32.640625,30.4875
28,0.023957000178112,32.65625,30.2125
29,0.026445926957919,32.625,29.4625
30,0.029110782926327,32.578125,29.1
31,0.031957851268642,32.515625,29.5625
32,0.034993415170173,32.421875,29.4125
33,0.038223757816227,32.3125,27.6625
34,0.041498082759431,32.203125,28.1
35,0.044967186447158,32.109375,28.7
36,0.048637352064714,32.015625,29.125
37,0.052514862797407,31.921875,28.05
38,0.056606001830544,31.796875,28.3125
39,0.060917052349433,31.65625,28.675
40,0.06545429753938,31.484375,27.4375
41,0.069809330355419,31.28125,26.8875
42,0.074169075560438,31.078125,26.575
43,0.078530391561784,30.90625,26.175
44,0.083117902234189,30.734375,25.7375
45,0.087937890762959,30.5625,25
46,0.092996640333402,30.390625,24.675
47,0.097961142124237,30.1875,24.55
48,0.102957059841608,29.96875,24.8625
49,0.107908995261829,29.78125,25.4375
50,0.113087125353108,29.625,25.0875
51,0.118497733300753,29.46875,24.65
52,0.124147102290071,29.28125,24.7875
53,0.129882865077363,29.09375,24.45
54,0.135569933178524,28.921875,25.0125
55,0.14132768711439,28.75,26.1
56,0.147152985292309,28.546875,26.425
57,0.152984566655535,28.34375,26.3875
58,0.159054909060434,28.15625,24.4375
59,0.165026291296745,27.96875,24.3125
60,0.170895571771814,27.796875,23.675
61,0.175930759397355,27.59375,23.25
62,0.181039774450256,27.484375,23.3875
63,0.186368700988907,27.359375,22.075
64,0.19142273817037,27.203125,22.425
65,0.196205027587297,27.0625,23.6625
66,0.200836520556852,26.90625,25.0875
67,0.205204119743505,26.78125,25.125
68,0.209632979986903,26.71875,25.2125
69,0.214119959694393,26.625,25.3125
70,0.218356397387759,26.515625,25.5375
71,0.222334439085367,26.421875,25.2
72,0.226488409971576,26.3125,24.55
73,0.230824593231693,26.1875,24.1875
74,0.235349272051026,26.046875,23.7
75,0.239229138978209,25.859375,22.9375
76,0.243087800154981,25.71875,22.175
77,0.246789381699073,25.578125,22.425
78,0.250679458802381,25.453125,22.35
79,0.254339414243813,25.296875,22.0875
80,0.258005652870552,25.15625,22.6625
81,0.261851747676709,25.015625,22.4875
82,0.265667997352658,24.875,21.9125
83,0.269451260305743,24.765625,22.1375
84,0.273423018818044,24.640625,22.15
85,0.277328018486456,24.46875,22.4375
86,0.281148980551385,24.359375,22.8
87,0.28464321698034,24.234375,23.8875
88,0.288307099412589,24.140625,23.5875
89,0.291901866806459,24.046875,23.175
90,0.29484946611369,23.9375,22.85
91,0.297960428238907,23.84375,22.3625
92,0.300994421344111,23.71875,22.5375
93,0.303979719763185,23.640625,22.8875
94,0.307065549147174,23.5625,22.2625
95,0.309918900674796,23.484375,21.2625
96,0.312696853978733,23.421875,21
97,0.315625603730042,23.34375,20.775
98,0.318644674270142,23.265625,21.3375
99,0.32175563639536,23.1875,20.9625
100,0.325029961338564,23.078125,21.4
101,0.328240669030532,22.953125,20.9875
102,0.331383047082285,22.859375,21.025
103,0.334492438411176,22.734375,20.85
104,0.337291597465524,22.640625,19.65
105,0.339969019804546,22.5625,18.875
106,0.342790955405633,22.515625,18.25
107,0.345763687454093,22.4375,18.3875
108,0.348893499135232,22.359375,17.95
109,0.352186673634357,22.25,17.525
110,0.355504195476548,22.140625,17.475
111,0.358741606706072,22.046875,17.3625
112,0.361915400684361,21.984375,18.075
113,0.36524627429533,21.90625,18.8125
114,0.368740510724285,21.78125,18.3875
115,0.372266163079776,21.640625,18.3125
116,0.375955178253254,21.515625,18.7875
117,0.379699956696333,21.390625,18.55
118,0.383366195323073,21.28125,18.175
119,0.386492080013394,21.171875,18.0875
120,0.38962817487984,21.078125,17.5
121,0.392921349378966,20.96875,17.5125
122,0.396377886696078,20.84375,17.8875
123,0.399620795712746,20.703125,18.2125
124,0.402631226873049,20.5,18.45
125,0.405805020851338,20.3125,18.1875
126,0.409029080312084,20.09375,17.9125
127,0.412242929596707,19.890625,16.6625
128,0.415372741277846,19.71875,16.8
129,0.418444433494893,19.53125,16.5125
130,0.421542829249496,19.375,17.0375
131,0.424792021451471,19.15625,17.5875
132,0.427419178308036,18.9375,17.0125
133,0.430152363916659,18.78125,17.1375
134,0.432913038461001,18.625,17.2
135,0.435671356810853,18.5,16.65
136,0.43841710879009,18.375,16.3125
137,0.441125947055648,18.234375,16.0125
138,0.443591311890553,18.09375,15.2375
139,0.445916875852372,17.984375,15.3125
140,0.448368103520336,17.875,14.8125
141,0.45095127807975,17.765625,15.0625
142,0.453502251314465,17.625,14.8375
143,0.45609956304082,17.46875,15.0625
144,0.458710226535953,17.3125,15.6125
145,0.461412781616204,17.171875,15.5875
146,0.464247283587905,17.015625,14.85
147,0.467159539977783,16.84375,14.225
148,0.46997911938438,16.6875,14.375
149,0.472650258538095,16.5625,14.5125
150,0.475403079100803,16.453125,14.5125
151,0.478281563369654,16.328125,14.4625
152,0.481291994529957,16.171875,14.05
153,0.483762071753842,16.015625,13.1375
154,0.486192879069557,15.890625,13.25
155,0.488449327992998,15.75,13.5625
156,0.490825157437275,15.640625,12.9125
157,0.493163287769709,15.484375,12.75
158,0.495281506616392,15.3125,13.1875
159,0.497490046251866,15.15625,12.7
160,0.499773984111026,15.015625,12.7
161,0.502168663111224,14.890625,12.5875
162,0.504544492555502,14.75,12.4625
163,0.506906184832838,14.625,12.3125
164,0.508879890417455,14.53125,12.6125
165,0.51097297652291,14.421875,12.6875
166,0.513002445377128,14.296875,12.6375
167,0.515139513779733,14.203125,12.4
168,0.517188617588037,14.109375,12.275
169,0.519357101917177,14.03125,12.3875
