"t","S, м²","N активних","T життя, с"
0,7.853981633974483e-8,1,70
1,3.9269908169872417e-7,2,49
2,0.0000010995574287564277,3,27
3,0.0000023561944901923444,4,48
4,0.000004319689898685965,5,63.5
5,0.000007147123286916781,6,42
6,0.000010995574287564275,7,43.5
7,0.000016022122533307946,8,31.5
8,0.000022383847656827277,9,61.5
9,0.000030237829290801762,10,50
10,0.00003974114706791089,11,22
11,0.000051050880620834135,12,14
12,0.000064324109582251,13,41.5
13,0.000079717913584841,14,20.5
14,0.00009738937226128359,15,36
15,0.00011749556524425829,16,22.5
16,0.00014019357216644456,17,40.5
17,0.00016564047266052188,18,37
18,0.00019399334635916978,19,10.5
19,0.00022540927289506766,20,16
20,0.00026004533190089515,21,36
21,0.0002980586030093315,22,15
22,0.00033960616585305655,23,51
23,0.0003848451000647497,24,34
24,0.0004339324852770902,25,68.5
25,0.00048702540112275766,26,36
26,0.0005442809272344319,27,15
27,0.0006058561432447917,28,36
28,0.0006719081287865172,29,35.5
29,0.0007425939634922874,30,49
30,0.0008180707269947823,31,31
31,0.0008984954989266809,32,48
32,0.0009840253589206629,33,65
33,0.0010748173866094084,34,39.5
34,0.0011710286616255954,35,43
35,0.0012728162636019046,36,17.5
36,0.0013803372721710153,37,39.5
37,0.001493748766965607,38,51.5
38,0.0016132078276183586,39,39.5
39,0.0017310175521279762,38,42.5
40,0.0018548748424957536,39,52
41,0.0019849367783543706,40,7.5
42,0.002121360439336508,41,53.5
43,0.002264302905074843,42,46
44,0.0024139212552020573,43,34
45,0.0025703725693508287,44,25
46,0.0027338139271538375,45,27
47,0.0029044024082437634,46,35.5
48,0.003082295092253285,47,40.5
49,0.0032676490588150835,48,40.5
50,0.003460621387561836,49,21.5
51,0.0036514731412674163,48,21
52,0.0038499432571579523,49,26.5
53,0.004056188814866123,50,1.5
54,0.004256858045614171,49,23
55,0.004465302718179855,50,32.5
56,0.004665343630397186,47,30.5
57,0.0048728458251667914,48,54.5
58,0.005087966382121352,49,34
59,0.005310862380893549,50,34
60,0.00553454377782914,50,22.5
61,0.005766157696215048,51,32
62,0.0060058612156839485,52,73
63,0.006253811415868523,53,24.5
64,0.006510165376401451,54,11
65,0.0067750801769154104,55,16.5
66,0.007048712897043082,56,11.5
67,0.007331220616417143,57,32.5
68,0.007622760414670277,58,37.5
69,0.00792348937143516,59,27
70,0.008218013682709201,58,46.5
71,0.008521727152494994,59,21
72,0.008834786860425218,60,31.5
73,0.009157349886132555,61,36.5
74,0.009489573309249674,62,20
75,0.009831614209409261,63,28
76,0.010183629666243997,64,47.5
77,0.01054577675938656,65,12
78,0.01091821256846963,66,11
79,0.011301094173125885,67,9
80,0.011694578652988008,68,18.5
81,0.012098823087688674,69,24.5
82,0.012513984556860567,70,39
83,0.012940220140136361,71,5
84,0.01337768691714874,72,41
85,0.013826541967530385,73,6.5
86,0.014272019805809418,72,6.5
87,0.014728885917457711,73,29
88,0.015197297382107944,74,6
89,0.015660446679063415,73,11.5
90,0.01613514132902084,74,4.5
91,0.016599076024139715,73,26.5
92,0.0170533503218488,72,14.5
93,0.017490110240514122,69,13.5
94,0.017937787193650658,70,23
95,0.018375489590112058,69,16
96,0.018824109021044682,70,24
97,0.019256706329444005,68,4.5
98,0.019692680849945927,67,1.5
99,0.02008239541862374,62,7.5
100,0.020460564634299617,59,7
101,0.020843681858404888,58,17
102,0.021235988241021915,59,3
103,0.021637640861783363,60,6
104,0.022048796800321933,61,12.5
105,0.022454062252635014,60,3.5
106,0.022867338766214752,60,7.5
107,0.023290118597571602,61,5.5
108,0.023721537808725816,61,13.5
109,0.024146830914205532,61,3.5
110,0.024581784417095038,62,31
111,0.02502655539702702,63,25.5
112,0.025445408237566882,59,28.5
113,0.02586693143186228,59,41.5
114,0.026286726750198216,57,23.5
115,0.026701102821206715,56,28.5
116,0.0271231757942165,56,25
117,0.027526085052039392,54,13
118,0.027924517540330915,53,22.5
119,0.02833135378897079,54,3
120,0.028718555083525735,52,8
121,0.029106934475325776,51,19.5
122,0.029503403468208803,52,20
123,0.02989955830182648,52,4.5
124,0.03027442884521608,51,5.5
125,0.030646236335768434,50,48
126,0.031015216392932553,50,2.5
127,0.031345633400273853,47,11
128,0.03168351169016743,48,38
129,0.032012200821549264,47,1
130,0.03232777380360237,46,12.5
131,0.032601092364464665,42,4
132,0.032869305837264884,41,32
133,0.03314403811482132,42,24.5
134,0.033425446276766635,43,8
135,0.03367763762703355,39,3.5
136,0.0339334418088521,39,0.5
137,0.034195215016712466,39,34
138,0.03446319287006368,40,59.5
139,0.03473619727166062,40,28
140,0.03496993176508771,38,11
141,0.03520971382437293,39,37.5
142,0.035454522431903925,39,21
143,0.035689513562392465,38,6
144,0.03589811531459081,36,32.5
145,0.03610326131487022,36,16
146,0.03630259536874049,36,20.5
147,0.03650766282920358,37,17.5
148,0.03671862077589212,38,11.5
149,0.03691520593619051,37,19
150,0.03711508976877517,37,30
151,0.037320864087585295,38,5.5
152,0.03753268597225359,39,2
153,0.037750712502412714,40,6
154,0.03797510075769537,41,20
155,0.0382000387916924,40,3.5
156,0.03843063169246586,40,30.5
157,0.03866758631836288,41,22.5
158,0.038911059749016104,42,13.5
159,0.039161209064058185,43,9
160,0.03939965594646564,42,17
161,0.039615718981216276,41,18.5
162,0.039796831797695754,36,7.5
163,0.03996184395182555,35,47.5
164,0.04013243243291548,36,21
165,0.04030679082518972,36,22
166,0.04044879081313197,34,9.5
167,0.04059621004840168,35,30.5
168,0.040749205610631486,36,6
169,0.040898902500575034,36,15
170,0.0410543327971114,37,1
171,0.04119696110358438,36,23
172,0.04132608056164693,34,46
173,0.04146061926703689,35,22.5
174,0.041600734299387016,36,5.5
175,0.04174658273832992,37,21.5
176,0.04189832166349831,38,2.5
177,0.04204566235895165,36,13.5
178,0.042198736460997824,37,3.5
179,0.042357701049269475,38,20
180,0.042520749707990774,38,33.5
181,0.042688981994590515,38,8.5
182,0.04284991007827065,37,12.5
183,0.043016728648176274,38,15
184,0.04318291889955116,38,26.5
