"t","S [м²]","N активних","T життя [с]"
0,7.853981633974483e-7,1,18.25
1,0.000003926990816987242,2,26
2,0.000032986722862692825,3,5
3,0.00005183627878423159,4,4.75
4,0.0001468694565553228,5,21.5
5,0.0001939933463591697,6,16
6,0.00039269908169872416,7,21
7,0.00048066367599923835,8,19.75
8,0.0008207410807503336,9,14.25
9,0.000962112750161874,10,29
10,0.0014812609361675875,11,28.25
11,0.0016886060513045136,12,34
12,0.002361692277336126,11,28.25
13,0.002581603763087412,12,16.5
14,0.0033552209540338982,13,15.25
15,0.003653672256124929,14,35
16,0.004681758452012189,15,10.25
17,0.005071315941057323,16,13
18,0.006391570253728433,17,14.5
19,0.006884800300342032,18,13.75
20,0.008534921841640071,19,24.25
21,0.009144390816436492,20,28.5
22,0.011162078698204535,21,13
23,0.011900352971798138,22,13.25
24,0.014323306305879266,23,19.75
25,0.01520295224888441,24,9
26,0.018068870147121698,25,20.5
27,0.019102454130152737,26,15.25
28,0.02244903570438926,27,12.25
29,0.023649124098060567,28,32.75
30,0.02751406846013941,29,13
31,0.028893227635065327,30,32.5
32,0.03331423389682956,31,12.5
33,0.03488503022362446,32,6
34,0.039899797496917175,33,36
35,0.04167479734619541,34,16
36,0.04732102474285965,35,14
37,0.04894051575578521,32,37.25
38,0.05410136708746983,33,23
39,0.05592506162287871,34,5.25
40,0.06171737307793488,35,2.75
41,0.06375783750644147,36,12.5
42,0.07021930819671225,37,13.25
43,0.07234930801584614,36,19.25
44,0.07907938487799884,37,36
45,0.08130363247674044,36,29.25
46,0.08785620935396533,33,21.75
47,0.08996578882085088,34,27.5
48,0.0957078347934496,31,14.75
49,0.09757865321866233,32,36.75
50,0.10313063283571888,31,21.5
51,0.10507842028094458,32,17.25
52,0.11122416090952959,33,24.25
53,0.11313424924291218,32,21.5
54,0.11916689253596797,33,33
55,0.12128118439183391,34,18
56,0.12786282100110452,34,20.5
57,0.13010984514658464,35,14
58,0.1366443578660514,34,3.75
59,0.13892908112337457,35,12.75
60,0.1461139035221345,36,3.25
61,0.1486216798578625,37,16
62,0.15649451104775858,38,22
63,0.15923790683250585,39,36.5
64,0.16749636852063,38,14.5
65,0.1702696094355864,39,6.5
66,0.17874719721129845,38,1.25
67,0.1811748629343599,35,4.75
68,0.1883950282504727,35,11.25
69,0.19048732895776344,32,14.25
70,0.19706660937254392,33,6.75
71,0.19936311360231806,34,20
72,0.20657385414047005,35,18
73,0.20908712826334183,36,23.5
74,0.21696702803670845,37,5.75
75,0.21970963842329233,38,6.25
76,0.22826576601534415,38,4.75
77,0.23121807771155517,39,2.25
78,0.2398087628227965,37,20.25
79,0.2424704771985504,37,8.5
80,0.25080512250852427,38,7.75
81,0.25370245633329724,39,14.25
82,0.2623434069269962,38,8.75
83,0.26534284251301093,39,5
84,0.27439534174432995,37,5.25
85,0.27705784151824725,36,7.25
86,0.28491496474487543,34,15.25
87,0.28761909062145274,35,14.75
88,0.29593724256999526,35,13.5
89,0.2988196538296638,36,17
90,0.307530504859905,36,1.5
91,0.31031631214547556,35,19.5
92,0.3190043866289783,36,2.25
93,0.32187972930517633,35,11.5
94,0.3299017861461178,32,17.5
95,0.33250616645594366,32,8
96,0.3397263317720566,29,16.75
97,0.34206289130816403,29,5.25
98,0.34867751464029745,28,8.5
99,0.35097009187925454,29,8.5
100,0.3578651023557208,28,11.25
101,0.36007992517650145,28,11.25
102,0.3666403560353604,28,9.5
103,0.3688575350506313,29,13.5
104,0.3752247579612945,29,8.5
105,0.37743800998574856,30,8.75
106,0.38399529925195386,29,5
107,0.38603105129147997,30,1.25
108,0.3922019246612938,29,13.25
109,0.3942753758126629,30,5.75
110,0.40047295272003225,29,1.75
111,0.40245215609179374,28,13.5
112,0.40794523084659573,28,1
113,0.40986395855977553,29,7.25
114,0.4158620443336419,28,15
115,0.4179425640684816,29,5.25
116,0.4234191454618521,23,1.25
117,0.42494831568598695,23,5.75
118,0.42975338164965265,24,23.25
119,0.4312935474480749,23,15
120,0.43558810460553227,21,4.5
121,0.43687615759350396,22,15
122,0.4403075621693875,19,1
123,0.4411432258152423,18,10.25
124,0.4435944534832059,17,1.75
125,0.4444615330555966,18,0.5
126,0.44711774964420675,17,17
127,0.44805551505130325,18,8.25
128,0.4508334683552401,16,0.75
129,0.4517830147347875,17,4.25
130,0.4537166650130722,12,16.75
131,0.4542939326631692,13,21.5
132,0.45614904312511406,14,5.5
133,0.456811133776858,15,5.75
134,0.45893956279966514,16,0.75
135,0.45961500522018695,16,11.75
136,0.4613185338365961,15,7.25
137,0.46185574618035985,16,0.75
138,0.46335350047795887,14,26.5
139,0.4638663654786573,15,5.75
140,0.4655471175483279,16,2.25
141,0.46615737192128764,17,13.5
142,0.4681491416636637,18,6
143,0.46886935177949907,19,14.25
144,0.47060429632244416,15,19.75
145,0.471129727693757,15,7
146,0.47284817887527064,16,8.25
147,0.4734709996188448,17,18
148,0.47550046847306393,18,11.5
149,0.47613821178174254,18,1.75
150,0.4781849593955564,18,0.25
151,0.4787567292585096,16,30.25
152,0.4806118397204545,16,5.75
153,0.48127393037219846,17,11.75
154,0.48338272444092073,17,5.25
155,0.48411471552920704,18,5.5
156,0.48648112019552364,19,8.5
157,0.48732935021199286,20,2.75
158,0.4899887083932567,20,15.5
159,0.4908447923913598,20,15.75
160,0.49349472579466297,20,5
161,0.494370444746851,21,4.5
162,0.49717824318099696,21,4
163,0.4981167939862568,21,12.5
164,0.5008421256132459,20,12.75
165,0.5015858976739834,19,6
166,0.5039248134045808,19,3.75
167,0.5047526230688019,20,17.5
168,0.507252545422896,20,1.25
169,0.5081204103934501,21,14.5
170,0.5108049013159425,19,3.5
171,0.5117057530093594,19,0.75
172,0.5140831532499633,17,14.25
173,0.5149266708774524,18,3.25
174,0.5171367813092524,16,5.5
175,0.5178711285920293,17,2.25
176,0.5201605642383327,17,3
177,0.5208901991321291,17,1.75
178,0.5231670684078181,17,1
179,0.5239791701087713,18,7
180,0.526449247332656,15,2.25
181,0.5273100437197398,16,1.75
182,0.5300243797724412,16,1
183,0.5308537602329888,16,17.25
184,0.5332233064919589,14,6.5
185,0.5339914258957617,14,13.75
186,0.5363177752557449,14,1.75
187,0.5371369455401684,15,6.75
188,0.5395763922356807,15,16.25
189,0.5404104850852091,16,12.75
190,0.5424768676531073,13,14
191,0.5431114693691326,14,2.75
192,0.5446414249914306,14,7.25
193,0.5451503630013121,14,14.5
194,0.5468099093205709,15,13.25
195,0.5474099535174067,16,2.25
196,0.5493436037956909,16,4.5
197,0.5500276855960103,17,10.5
198,0.5519259929569418,16,3
199,0.5525786588307254,17,3.25
200,0.5546049860922906,16,0.5
201,0.5552128842707602,16,1
202,0.5569486142118686,15,5.25
203,0.5575305942509462,15,2.75
204,0.5593990564816685,15,2.75
205,0.5600572201425957,16,0.75
206,0.5620175739584357,14,11
207,0.5626663128414019,14,2.75
208,0.5647271976221568,14,16
209,0.5654474077379923,15,1.25
210,0.5677124960412304,15,10.5
211,0.5685088897789153,16,10
212,0.5703365113051413,13,1.5
213,0.5708855046213561,13,0.5
214,0.5725654712928632,12,8.5
215,0.5731097522200976,13,3.25
216,0.5748305595961016,13,5.75
217,0.5754447409598783,14,5.75
218,0.5768639554411373,12,5.25
219,0.5772951390328425,13,11.75
220,0.5787119973196115,14,13.5
221,0.5790410791500752,13,10
222,0.5798979485463417,12,4.5
223,0.5801909020612891,13,2
224,0.5811930701177841,14,8
225,0.5815708466343784,15,5.5
226,0.5828463332517357,16,6.25
227,0.5833081473718136,16,1
228,0.5846629592036741,14,2
229,0.5850375941276147,13,1.5
230,0.5862848064110898,14,5
231,0.5866806470854423,14,7
232,0.5875013881661924,10,9.75
233,0.5877959124774665,11,0.25
234,0.5887721623945695,11,7
