"t","V [м³]","N активних","T життя [с]","V вкінці [м³]"
0,2.945243112740431e-10,1,35.30000000000023,2.945243112740431e-10
1,2.9481883558531713e-7,2,21.00000000000003,2.945243112740431e-10
2,0.0000027485008728093703,3,24.00000000000007,2.945243112740431e-10
3,0.000011072052433725102,4,41.200000000000315,2.945243112740431e-10
4,0.000033595210089785,5,25.40000000000009,2.945243112740431e-10
5,0.00007406903546937528,6,26.70000000000011,2.945243112740431e-10
6,0.00014285548289173932,7,29.200000000000145,2.945243112740431e-10
7,0.0002507341421495071,8,22.300000000000047,2.356194490192345e-9
8,0.0004102517489029528,9,33.1000000000002,2.356194490192345e-9
9,0.0006357221846799952,10,16.89999999999997,2.356194490192345e-9
10,0.0009432264768761967,11,38.400000000000276,2.356194490192345e-9
11,0.001350612798754764,12,10.899999999999977,2.356194490192345e-9
12,0.0018774964694465493,13,19.70000000000001,2.356194490192345e-9
13,0.0025452599539500472,14,31.300000000000175,2.356194490192345e-9
14,0.0033770528631313986,15,18.9,2.356194490192345e-9
15,0.0043977919537243875,16,28.90000000000014,2.356194490192345e-9
16,0.00563416112833044,17,18.9,2.356194490192345e-9
17,0.00711461143541863,18,4.899999999999999,7.952156404399164e-9
18,0.008680645794974077,19,4.000000000000002,7.952156404399164e-9
19,0.010709659412782622,20,16.399999999999963,7.952156404399164e-9
20,0.013075529321124634,21,15.299999999999962,7.952156404399164e-9
21,0.015813775151939755,22,8.399999999999986,7.952156404399164e-9
22,0.01890832353546451,19,14.499999999999964,7.952156404399164e-9
23,0.021930137373174282,20,18.19999999999999,7.952156404399164e-9
24,0.025361613911164458,21,25.40000000000009,7.952156404399164e-9
25,0.029238272781374686,22,11.899999999999974,7.952156404399164e-9
26,0.033520909263682654,21,20.30000000000002,7.952156404399164e-9
27,0.037596115807852055,22,7.999999999999988,1.884955592153876e-8
28,0.042157502468370855,23,1.5000000000000002,1.884955592153876e-8
29,0.04724412316891398,24,19,1.884955592153876e-8
30,0.052180185397728326,21,19.300000000000004,1.884955592153876e-8
31,0.05724536472841071,22,24.60000000000008,3.681553890925539e-8
32,0.06255454743715706,21,16.499999999999964,3.681553890925539e-8
33,0.06766647631724365,21,15.399999999999961,3.681553890925539e-8
34,0.07300691512399966,22,21.600000000000037,3.681553890925539e-8
35,0.07884644245861956,21,27.700000000000124,3.681553890925539e-8
36,0.08314427227204894,18,11.699999999999974,3.681553890925539e-8
37,0.08710223516743498,17,23.500000000000064,3.681553890925539e-8
38,0.0912680138278074,18,31.300000000000175,3.681553890925539e-8
39,0.09583762360709694,19,4.999999999999998,3.681553890925539e-8
40,0.10084304984550806,20,14.699999999999964,3.681553890925539e-8
41,0.10631804502911271,21,3.4000000000000017,3.681553890925539e-8
42,0.11112633083072392,20,18.9,3.681553890925539e-8
43,0.11625753662150773,21,17.69999999999998,3.681553890925539e-8
44,0.12179649600598627,20,10.899999999999977,3.681553890925539e-8
45,0.1251284754575689,18,26.200000000000102,6.361725123519331e-8
46,0.12840924390548017,19,2.0000000000000004,6.361725123519331e-8
47,0.13177749373147188,19,20.600000000000023,6.361725123519331e-8
48,0.1353780124979178,17,6.8999999999999915,6.361725123519331e-8
49,0.13789863460965682,15,8.199999999999987,6.361725123519331e-8
50,0.13932786978973327,14,7.29999999999999,6.361725123519331e-8
51,0.14073240351034746,15,17.399999999999977,6.361725123519331e-8
52,0.14237129906117177,16,25.100000000000087,6.361725123519331e-8
53,0.1442712403448075,17,12.299999999999972,1.0102183876699678e-7
54,0.14646067840972402,18,10.29999999999998,1.0102183876699678e-7
55,0.14886131926920634,16,17.59999999999998,1.0102183876699678e-7
56,0.1508532463857393,15,10.699999999999978,1.0102183876699678e-7
57,0.1526197298682075,16,11.199999999999976,1.0102183876699678e-7
58,0.15454929234540107,15,10.09999999999998,1.0102183876699678e-7
59,0.15672646052750977,16,12.199999999999973,1.0102183876699678e-7
60,0.15919294877631235,17,10.499999999999979,1.0102183876699678e-7
61,0.16149985609563453,15,20.40000000000002,1.0102183876699678e-7
62,0.16345206660879213,16,7.699999999999989,1.0102183876699678e-7
63,0.16539550677700865,16,20.30000000000002,1.0102183876699678e-7
64,0.1671860617314373,17,13.299999999999969,1.0102183876699678e-7
65,0.16916924324307128,17,12.89999999999997,1.5079644737231008e-7
66,0.17130418724181845,17,24.100000000000072,1.5079644737231008e-7
67,0.17366209674707536,17,0.5,1.5079644737231008e-7
68,0.17607209788369438,16,0.2,1.5079644737231008e-7
69,0.17818933832061526,13,6.099999999999994,1.5079644737231008e-7
70,0.17973067799476758,12,12.69999999999997,1.5079644737231008e-7
71,0.1812075863524884,12,6.299999999999994,1.5079644737231008e-7
72,0.18215511082263902,11,17.399999999999977,1.5079644737231008e-7
73,0.18303899771937698,11,17.69999999999998,1.5079644737231008e-7
74,0.18392811684050467,12,6.999999999999991,1.5079644737231008e-7
75,0.18508592077150549,12,1.7000000000000004,2.1470822291877744e-7
76,0.18629142379828997,13,3.3000000000000016,2.1470822291877744e-7
77,0.18763153179843453,12,5.899999999999995,2.1470822291877744e-7
78,0.188422191147779,10,6.299999999999994,2.1470822291877744e-7
79,0.18922336530956035,11,13.699999999999967,2.1470822291877744e-7
80,0.19015959241617914,11,2.2000000000000006,2.1470822291877744e-7
81,0.19124223816080738,11,8.699999999999985,2.1470822291877744e-7
82,0.19215223198702097,11,16.99999999999997,2.1470822291877744e-7
83,0.19304948586962614,9,8.999999999999984,2.1470822291877744e-7
84,0.19364019266404667,9,10.09999999999998,2.1470822291877744e-7
85,0.19426772884001914,9,10.599999999999978,2.1470822291877744e-7
86,0.1949968358480748,10,22.900000000000055,2.1470822291877744e-7
87,0.19585038821337308,11,15.499999999999961,2.945243112740431e-7
88,0.19684623410917718,12,5.999999999999995,2.945243112740431e-7
89,0.19800398885461798,13,3.700000000000002,2.945243112740431e-7
90,0.19904150434450546,11,2.600000000000001,2.945243112740431e-7
91,0.19951695081685478,11,12.69999999999997,2.945243112740431e-7
92,0.1999535124224838,11,18.499999999999993,2.945243112740431e-7
93,0.20036103982150746,9,20.200000000000017,3.920118583057514e-7
94,0.20074992677687062,9,8.899999999999984,3.920118583057514e-7
95,0.2011086105586369,9,4.300000000000001,3.920118583057514e-7
96,0.20150543965657783,9,8.399999999999986,3.920118583057514e-7
97,0.20194156271550742,10,11.199999999999976,3.920118583057514e-7
98,0.20248039523750758,11,8.499999999999986,3.920118583057514e-7
99,0.20311409963613108,11,2.500000000000001,3.920118583057514e-7
100,0.20362424136687277,11,4.799999999999999,3.920118583057514e-7
101,0.20425182289958915,12,0.2,3.920118583057514e-7
102,0.2050150155007129,11,9.99999999999998,3.920118583057514e-7
103,0.20578378963205954,10,7.29999999999999,5.089380098815465e-7
104,0.20648911439102846,10,11.799999999999974,5.089380098815465e-7
105,0.20718294740042,9,13.09999999999997,5.089380098815465e-7
