"t","S [м²]","N активних","T життя [с]"
0,7.853981633974483e-7,1,28.000000000000128
1,0.00007932521450314228,2,23.500000000000064
2,0.000409977841293468,3,13.299999999999969
3,0.0011490375130504668,4,16.499999999999964
4,0.0026185174767670923,5,15.399999999999961
5,0.004708461989567703,6,30.100000000000158
6,0.007678052445373454,7,8.699999999999985
7,0.011684368476863839,8,6.999999999999991
8,0.016884489716718343,9,12.89999999999997
9,0.023435495797616456,10,19
10,0.03149446635223767,11,5.1999999999999975
11,0.04121848101326148,12,3.0000000000000013
12,0.05276461941336737,13,7.39999999999999
13,0.06628996118523482,14,17.69999999999998
14,0.08179293553253707,13,0.7
15,0.09737287889985226,12,17.199999999999974
16,0.1112029551591179,11,11.899999999999974
17,0.12640904900065592,12,15.099999999999962
18,0.14164970036138336,13,24.100000000000072
19,0.16046862575454965,14,9.599999999999982
20,0.17763507341192764,12,15.89999999999996
21,0.1939886339701893,12,11.099999999999977
22,0.2104042409833594,13,10.29999999999998
23,0.22879905136829104,14,20.30000000000002
24,0.2493301447576637,15,9.89999999999998
25,0.26991150362949395,15,9.799999999999981
26,0.2913222429618718,16,20.600000000000023
27,0.31518342456404963,17,6.299999999999994
28,0.341464417907655,17,6.799999999999992
29,0.3604207879794158,15,3.2000000000000015
30,0.38093617340552055,16,0.7999999999999999
31,0.403016071973113,15,4.999999999999998
32,0.42543212095463967,16,12.99999999999997
33,0.4422058695303189,12,6.5999999999999925
34,0.4585020960226525,11,15.89999999999996
35,0.4742783889308171,10,10.19999999999998
36,0.48491346546138187,8,13.599999999999968
37,0.49367929436306085,9,7.899999999999988
38,0.5037960081057833,10,4.999999999999998
39,0.5154206863222289,11,13.199999999999969
40,0.52817241090315,11,7.799999999999988
41,0.5420904517567162,12,2.700000000000001
42,0.5578306163493645,13,6.5999999999999925
43,0.5716065001353557,12,6.5999999999999925
44,0.583777815473526,11,1.9000000000000006
45,0.5962970621980813,10,1.2
46,0.6060391410168632,9,1.2
47,0.614913354865091,8,2.0000000000000004
48,0.6227571263229412,7,3.1000000000000014
49,0.630230189847668,6,3.800000000000002
50,0.6357366163712475,4,2.0000000000000004
51,0.6383135077453544,5,2.2000000000000006
52,0.6410152774274416,4,7.099999999999991
53,0.6419475450473945,3,8.199999999999987
54,0.6423276777584789,3,5.299999999999997
55,0.6430824453935038,4,4.6
56,0.6444026997061749,5,1.5000000000000002
57,0.6464455203291717,6,2.9000000000000012
58,0.6491983408918797,6,1.0999999999999999
59,0.6527491259885996,7,0.30000000000000004
60,0.6546120904321782,2,0.1
61,0.6558066810387058,2,5.599999999999996
62,0.6560297341171105,2,3.800000000000002
63,0.6563760947071688,3,1.9000000000000006
64,0.6571308623421938,4,5.399999999999997
65,0.658388284801793,4,11.899999999999974
66,0.659836559015098,4,4.000000000000002
67,0.6610115146675405,4,4.6
68,0.6623317689802116,5,2.0000000000000004
69,0.6643745896032084,6,1.9000000000000006
70,0.6665689920717408,4,9.499999999999982
71,0.6682976534293786,4,0.6
72,0.6699556289523106,3,0.4
73,0.6715704075762557,3,8.899999999999984
74,0.6735818122727166,4,0.4
75,0.6763503407986926,4,2.500000000000001
76,0.6794455949606418,5,3.4000000000000017
77,0.6826955725607805,5,0.5
78,0.6850588356344436,4,7.099999999999991
79,0.6878242225677659,5,3.900000000000002
80,0.6898167777083053,4,3.900000000000002
81,0.6917810585149623,5,0.8999999999999999
82,0.6940100185026843,4,1.4000000000000001
83,0.6956758480072501,4,4.6
84,0.6971492549617838,3,5.4999999999999964
85,0.6985323411275267,4,6.199999999999994
86,0.6992871087625516,4,1.5000000000000002
87,0.7006073630752228,5,0.1
88,0.7020053718060701,3,2.0000000000000004
89,0.703388457971813,4,0.2
90,0.7046663007836607,2,2.400000000000001
91,0.7056409799044369,3,0.5
92,0.7060085462449069,2,1.3
93,0.7062096081747365,2,8.199999999999987
94,0.7063423404643507,2,1.6000000000000003
95,0.7066887010544091,3,1.9000000000000006
96,0.7072981700292054,3,2.400000000000001
97,0.708147185443838,3,4.999999999999998
98,0.709216112344222,4,1.4000000000000001
99,0.710548147629344,4,0.1
100,0.7120529705104135,3,4.699999999999999
101,0.713907295574195,4,0.7
102,0.7149683684929449,2,10.09999999999998
103,0.7154718087156825,3,2.400000000000001
104,0.716383655983387,4,6.999999999999991
105,0.7175531138486858,4,3.4000000000000017
106,0.7185709898684489,4,2.600000000000001
107,0.7200483238137995,5,4.999999999999998
108,0.7222482240694758,6,0.7999999999999999
109,0.7246468300604916,4,4.100000000000001
110,0.7272237214345986,5,3.800000000000002
111,0.7304124379779923,5,5.899999999999995
112,0.7333184111825627,5,5.799999999999995
113,0.7346386654952338,5,7.39999999999999
114,0.7357727804431797,4,0.1
115,0.7369987869762432,4,3.600000000000002
116,0.7387902801869527,5,6.099999999999994
117,0.7411158441487726,5,1.9000000000000006
118,0.7431924368927955,5,0.7
119,0.7449705783347272,3,4.200000000000001
120,0.7466678237658291,4,2.1000000000000005
121,0.748078398867291,4,2.3000000000000007
122,0.7497128124453211,5,1.9000000000000006
123,0.7506246597130256,4,0.7
124,0.7509859428681883,1,0.8999999999999999
125,0.7510495601194235,1,0.4
126,0.7510621264900378,1,6.999999999999991
127,0.7511571596678088,2,10.899999999999977
128,0.7515035202578672,3,1.8000000000000005
129,0.7522582878928921,4,5.099999999999998
130,0.7534866506204456,4,4.200000000000001
131,0.7551210641984758,5,1.6000000000000003
132,0.7574780440868315,6,1.5000000000000002
133,0.7604586301169247,5,2.0000000000000004
134,0.7629601232673455,5,0.8999999999999999
135,0.7645018598620947,2,2.3000000000000007
136,0.7659477778809094,3,0.5
137,0.7677267047210047,3,0.7
138,0.7691537731838978,1,1.9000000000000006
139,0.7692488063616688,2,0.4
140,0.7694498682914985,1,0.1
141,0.7694506536896619,1,2.9000000000000012
142,0.769545686867433,2,0.1
143,0.7697977996778836,2,1.8000000000000005
144,0.7702069921210136,2,2.700000000000001
145,0.7704614611259544,2,1.4000000000000001
146,0.7708078217160127,3,5.599999999999996
147,0.7711879544270971,2,1.4000000000000001
148,0.7715343150171554,3,3.2000000000000015
149,0.772096660102148,3,8.699999999999985
150,0.7730085073698525,4,3.2000000000000015
151,0.774485841315203,5,7.599999999999989
152,0.7757102770519396,4,3.900000000000002
153,0.7770305313646108,5,5.1999999999999975
154,0.7785573453942554,5,5.699999999999996
155,0.7807572456499317,6,3.0000000000000013
156,0.7837111281424693,6,1.6000000000000003
157,0.7871048336065098,7,0.7
158,0.7907263045379354,4,1.2
159,0.7922020676869591,3,2.3000000000000007
160,0.7928241030323698,2,3.800000000000002
161,0.7931704636224282,3,0.30000000000000004
162,0.7934979746565649,2,0.6
163,0.7939346560354138,2,1.2
164,0.7944090365261058,2,0.2
165,0.7944302422765176,1,2.600000000000001
166,0.7945252754542886,2,1.3
167,0.794871636044347,3,1.2
168,0.7951889369023595,2,4.799999999999999
169,0.7953020342378887,2,1.9000000000000006
170,0.795648394827947,3,1.9000000000000006
171,0.7963403306099001,3,1.7000000000000004
172,0.7971893460245327,3,3.2000000000000015
173,0.7979056291495512,2,4.799999999999999
174,0.7982519897396095,3,2.3000000000000007
175,0.7990067573746344,4,3.700000000000002
176,0.7998110050939534,4,1.5000000000000002
177,0.8007919674000369,4,1.4000000000000001
178,0.8018663920875645,3,2.3000000000000007
179,0.8023407725782566,2,0.5
180,0.8026117349446289,2,0.5
181,0.8027004849370928,1,2.800000000000001
182,0.8027955181148638,2,2.3000000000000007
183,0.8031418787049222,3,6.5999999999999925
184,0.8037576308650257,3,8.999999999999984
185,0.804173106493463,3,4.899999999999999
186,0.8049278741284879,4,5.1999999999999975
187,0.806248128441159,5,7.19999999999999
188,0.8082909490641558,6,1.6000000000000003
189,0.8112134156301577,7,4.5
190,0.8143322317370089,5,2.0000000000000004
191,0.8170033708907236,6,0.2
192,0.8196313131454515,4,0.30000000000000004
193,0.822292242123042,3,0.2
194,0.8236022862595889,2,2.2000000000000006
195,0.8238096313747257,2,0.6
196,0.8240892331208953,2,4.000000000000002
197,0.8242180384196924,2,4.699999999999999
198,0.8245643990097508,3,0.1
199,0.825224918865168,3,0.2
200,0.8261383369291992,2,0.7999999999999999
201,0.8267540890893029,2,1.5000000000000002
202,0.8272638124973478,2,0.2
203,0.8273486354989947,1,1.7000000000000004
204,0.8274436686767658,2,1.5000000000000002
205,0.8276706487459876,2,1.5000000000000002
206,0.827847363332752,2,3.5000000000000018
207,0.8280240779195164,2,0.4
208,0.828287971702418,2,0.4
209,0.8287089451179989,2,0.6
210,0.8289445645670181,1,0.7
211,0.8289830490770246,1,0.6
212,0.8290113234109069,1,0.30000000000000004
213,0.8290183919943774,1,5.599999999999996
214,0.8291134251721485,2,0.4
215,0.8293773189550501,2,2.2000000000000006
216,0.8298807591777877,3,1.2
217,0.8307926064454922,4,4.699999999999999
218,0.8316620422123732,3,0.1
219,0.8323343430402415,2,2.700000000000001
220,0.8328377832629791,3,0.8999999999999999
221,0.8337182146041477,3,0.5
222,0.834378734459565,1,0.1
223,0.8343795198577284,1,2.400000000000001
224,0.8344745530354994,2,0.6
225,0.834754154781669,2,1.4000000000000001
226,0.8349552167114986,2,3.700000000000002
227,0.8351091547515246,2,2.1000000000000005
228,0.8354555153415829,3,0.6
229,0.8361435241327191,3,2.400000000000001
230,0.8365589997611563,2,0.9999999999999999
231,0.8368888669897834,2,0.1
232,0.8369956811400053,1,0.9999999999999999
233,0.8370742209563451,1,3.4000000000000017
234,0.8371692541341161,2,1.0999999999999999
235,0.8375156147241745,3,0.2
236,0.8379271633617946,2,0.6
237,0.8381085903375395,1,4.5
238,0.8382036235153105,2,2.3000000000000007
239,0.8385499841053689,3,1.5000000000000002
240,0.8393047517403938,4,1.7000000000000004
241,0.8401160680431833,3,3.800000000000002
242,0.8406132250806139,2,2.1000000000000005
243,0.8409595856706722,3,2.1000000000000005
244,0.8417143533056971,4,0.7999999999999999
245,0.8423952935133628,2,0.6
246,0.8424235678472451,1,0.2
247,0.8424267094398987,1,2.800000000000001
248,0.8425217426176698,2,0.5
249,0.842792704984042,2,1.4000000000000001
250,0.8431571297318583,2,1.8000000000000005
251,0.8433110677718842,2,1.2
252,0.843565536776825,2,0.6
253,0.8436118752684655,1,2.1000000000000005
254,0.8437069084462365,2,0.8999999999999999
255,0.844021853109759,2,1.3
256,0.84411688628753,2,2.600000000000001
257,0.8442496185771442,2,0.1
258,0.8445017313875949,2,0.30000000000000004
259,0.8446933685394638,1,0.4
260,0.8447059349100781,1,0.4
261,0.8447185012806924,1,3.1000000000000014
262,0.8448135344584634,2,3.0000000000000013
263,0.8451598950485217,3,2.800000000000001
264,0.8459146626835466,4,0.30000000000000004
265,0.8465335564363039,2,1.6000000000000003
266,0.8468979811841202,2,4.100000000000001
267,0.8470990431139499,2,2.9000000000000012
268,0.8474454037040082,3,1.2
269,0.8482001713390331,4,0.1
270,0.8490986668379599,2,3.2000000000000015
271,0.8491937000157309,2,0.7999999999999999
272,0.8494952929104757,2,1.4000000000000001
273,0.8499987331332133,3,3.3000000000000016
274,0.8502021512575333,2,1.5000000000000002
275,0.8505485118475916,3,0.2
276,0.8510417418942051,2,1.4000000000000001
277,0.8512373060368911,2,0.7
278,0.8513346954091524,1,0.2
279,0.851337837001806,1,1.9000000000000006
280,0.851432870179577,2,0.4
281,0.8516339321094067,1,0.7
282,0.8516724166194132,1,3.3000000000000016
283,0.8517674497971842,2,0.9999999999999999
284,0.8520973170258113,2,2.9000000000000012
285,0.8526007572485489,3,2.1000000000000005
286,0.8530476488035221,3,2.3000000000000007
287,0.8537081686589394,3,1.2
288,0.8540545292489977,3,0.2
289,0.8541448500377884,1,2.600000000000001
290,0.8542398832155594,2,1.7000000000000004
291,0.8545862438056178,3,1.8000000000000005
292,0.8549977924432379,2,1.6000000000000003
293,0.8552522614481787,2,1.7000000000000004
294,0.8554533233780084,2,1.6000000000000003
295,0.8556803034472302,2,1.4000000000000001
296,0.8558813653770599,2,0.7
297,0.8559787547493213,1,0.8999999999999999
298,0.8560423720005564,1,4.000000000000002
299,0.8561366197801641,1,undefined
300,0.8563879471924514,1,undefined
301,0.8567484449494508,1,undefined
302,0.857298223663829,1,undefined
