"t","S","N"
0,0.7853981633974483,1
1,3.9269908169872414,2
2,10.995574287564278,3
3,23.56194490192345,4
4,43.19689898685965,5
5,71.47123286916779,6
6,109.95574287564277,7
7,160.22122533307945,8
8,223.83847656827274,9
9,302.37829290801767,10
10,397.4114706791089,11
11,510.50880620834147,12
12,643.2410958225099,13
13,797.1791358484098,14
14,973.8937226128356,15
15,1174.9556524425827,16
16,1401.9357216644455,17
17,1656.404726605219,18
18,1939.9334635916978,19
19,2254.092728950676,20
20,2600.45331900895,21
21,2980.586030093315,22
22,3396.061658530565,23
23,3848.4510006474957,24
24,4339.324852770901,25
25,4870.254011227577,26
26,5442.809272344317,27
27,6058.561432447917,28
28,6719.081287865171,29
29,7425.939634922875,30
30,8180.707269947821,31
31,8984.954989266807,32
32,9840.253589206628,33
33,10748.173866094077,34
34,11710.286616255953,35
35,12728.162636019044,36
36,13803.372721710151,37
37,14937.487669656068,38
38,16132.078276183585,39
39,17388.71533761951,40
40,18708.969650290615,41
41,20094.412010523713,42
42,21546.613214645597,43
43,23067.144058983056,44
44,24657.57533986289,45
45,26319.47785361189,46
46,28054.422396556856,47
47,29863.97976502458,48
48,31749.720755341852,49
49,33713.216163835474,50
50,35756.03678683224,51
51,37879.753420658926,52
52,40085.93686164236,53
53,42269.34375588726,52
54,44535.217457288905,53
55,46885.12876217406,54
56,49320.64846686954,55
57,51843.347367702154,56
58,54454.79626099868,57
59,57156.5659430859,58
60,59950.227210290635,59
61,62837.35085893965,60
62,65714.2643314645,59
63,68684.64018543366,60
64,71750.04921717392,61
65,74912.06222301205,62
66,78172.24999927486,63
67,81532.18334228915,64
68,84993.4330483817,65
69,88557.56991387931,66
70,92226.1647351088,67
71,96000.78830839692,68
72,99883.01143007052,69
73,103874.40489645634,70
74,107760.55500894689,68
75,111754.30466982292,69
76,115604.32646679724,66
77,119309.04960354298,63
78,123113.51830704023,64
79,126584.19279109359,59
80,129971.61506982676,57
81,133249.86700384764,56
82,136616.86893033242,57
83,140074.19164560805,58
84,143623.40594600106,59
85,147266.08262783845,60
86,151003.79248744695,61
87,154838.10632115323,62
88,158770.59492528424,63
89,162802.82909616674,64
90,166798.93495153286,64
91,170447.10942051408,59
92,174047.37460152796,58
93,177547.89421579044,57
94,180956.5222449354,56
95,184416.9865528645,56
96,187966.20085325753,57
97,191477.71604180752,57
98,195079.5520191482,58
99,198773.27958160645,59
100,202560.469525509,60
101,206044.49577834006,56
102,209556.01096689008,55
103,213029.82704359698,55
104,216590.822316441,56
105,220085.84414355966,56
106,223669.61596314216,57
107,227343.70857151548,58
108,231109.6927650063,59
109,234969.13933994135,60
110,238582.75628973302,57
111,242115.4772286947,56
112,245586.15171274805,55
113,249070.96336374248,55
114,252470.16661492665,54
115,255868.5844679474,53
116,259351.03992445167,54
117,262648.9268125575,53
118,266030.851304147,54
119,269428.4837590044,54
120,272819.8330285545,54
121,275982.631432556,51
122,279099.8767430805,51
123,282298.01806443505,52
124,285250.32976064604,49
125,288280.39587503346,50
126,291389.78720392386,51
127,294508.6033107751,51
128,297543.38181414286,50
129,300657.48553201376,51
130,303852.48526071454,52
131,306964.23278409534,52
132,309907.90510050894,50
133,312828.01547202066,50
134,315693.93337025796,49
135,318637.6056866717,50
136,321660.60321758833,51
137,324612.12951563596,50
138,327642.9810281867,51
139,330754.7285515675,52
140,333683.47830287647,51
141,336693.1240650154,52
142,339785.2366343113,53
143,342579.6832996793,50
144,345294.8047505442,49
145,348014.63859038975,49
146,350812.2268484115,50
147,353689.14032093645,51
148,356646.94980429113,52
149,359687.2260948025,53
150,362376.42940627545,48
151,365136.3185524542,48
152,367962.18114435807,48
153,370864.2273581119,49
154,373704.22711695684,48
155,376620.41049765155,49
156,379414.07176485646,47
157,382282.3458575838,48
158,385204.0270254224,48
159,388127.27898958756,48
160,390975.91812823,45
161,393564.5904747881,44
162,396150.12122869265,44
163,398805.55241913925,45
164,401386.37078406336,44
165,403710.3639495563,41
166,406084.6225975069,41
167,408106.23747009184,40
168,410191.4695939122,41
169,412191.8787160853,41
170,414257.4758858207,42
171,416389.8318994448,43
172,418526.1149038858,42
173,420550.8713691246,40
174,422639.24508559826,41
175,424787.30906249036,41
176,427000.5610869443,42
177,429280.571955287,43
178,431182.8063070358,40
179,433148.6579100196,41
180,435111.3679203497,41
181,437006.5336886278,41
182,438956.6773283438,41
183,440708.9006308834,39
184,442292.26332829264,38
185,443936.1016842835,39
186,445543.02632659464,38
187,447210.42662748747,39
188,448901.38887328224,39
189,450579.78474846255,39
190,452281.74256854487,39
191,453876.10084024153,36
192,455457.1073431607,35
193,457044.3970313868,35
194,458687.4499892144,36
195,460189.9166757937,35
196,461507.0293958114,33
197,462809.2195507242,32
198,464162.46058625804,33
199,465568.32329873944,34
200,466963.1904369333,34
201,468378.4779273756,34
202,469777.27205638646,33
203,471029.98212700535,31
204,472207.2939739382,31
205,473434.0859051649,32
206,474711.9287170125,33
207,476019.6166590693,33
208,477379.9262780738,34
